brand,guessed_domain,final_url
TRAOO,traoo.com,https://traoo.com/
Fodalum,,
RUOEVA,,
Juliyas,juliyas.com,https://www.juliyas.com/
Vibaleg,,
FIDECO,,
Svoko,,
Lenovo,lenovo.com,https://www.lenovo.com/jp/ja/
Glaazo,,
JOKITA,jokita.com,https://jokita.com/
Gumsry,,
Klszear,,
Finish Line,finishline.jp,https://finishline.jp/
E-enemo,,
SK-CinDa,,
Rikuto,rikuto.com,https://rikuto.com/
JGUG,jgug.com,https://jgug.com/
YUDOFICAL,yudofical.com,https://yudofical.com/
Tryone,,
SAZAC,sazac.com,https://sazac.com/
Casio,,
DYKL,,
CEREMONY,ceremony.jp,https://www.ceremony.jp/
ELUTENG,eluteng.com,https://eluteng.com/
Ashei,,
LongFlight,longflight.com,https://longflight.com/
GOODNEW,goodnew.com,https://goodnew.com/
MINLU,,
Generic,generic.com,https://generic.com/
BRJR,,
Gourde,gourde.com,https://gourde.com/
BUODCO,,
LXCRTONE,,
PACPAK,pacpak.com,https://pacpak.com/
YOSH,,
BINGFU,bingfu.com,https://bingfu.com/
Screwpop,screwpop.com,https://screwpoptool.com/
Feesun,feesun.com,https://dnspod.qcloud.com/static/webblock.html?d=feesun.com
Lamicall,lamicall.com,https://lamicall.com/
HARU,haru.co.jp,https://haru.co.jp/
Cryfokt,,
Onalra,,
Yukimoto,yukimoto.com,https://yukimoto.com/
Mountsafe,mountsafe.com,https://mountsafe.com/
Liaolee,liaolee.com,http://liaolee.com/
Mtricpop,,
IAPOS,iapos.com,https://iapos.com/
YIERSAN,yiersan.com,https://yiersan.com/
MIATONE,miatone.com,https://www.miatone.com/
Trywon,trywon.com,https://www.hugedomains.com/domain_profile.cfm?d=trywon.com
Gillmar,gillmar.com,https://www.hugedomains.com/domain_profile.cfm?d=gillmar.com
Speiow,,
Erssimo,,
BONTEC,bontec.jp,https://bontec.jp/
Audwierr,,
TELESIN,telesin.com,https://www.telesinstore.com/
Yokizu,,
IKUNTOP,ikuntop.com,https://ikuntop.com/
Letpedi,,
Cambink,,
atolla,atolla.com,https://atolla.com/
LISEN,lisen.com,https://lisen.com/
Seiko,,
Belkin,belkin.com,https://www.belkin.com/
Vellope,,
Eynew,,
zonzon,zonzon.com,https://www.vantaca.com/
OMKUY,,
GooSpy,,
FiiO,fiio.com,https://fiio.com/
KJKD,,
Alprojec,alprojec.com,https://alprojec.com/
VANBOKEE,,
TAREASS,,
Dreemstar,,
Mattel Games,mattelgames.com,https://shop.mattel.com/collections/mattel-games
Yibest,yibest.com,https://yibest.com/
Bulonchi,,
Tecaki,,
GOBOT,,
NIPLUX,niplux.jp,https://niplux.jp/
Aterm,aterm.com,https://aterm.com/
COOLERPLUS,coolerplus.com,https://www.hugedomains.com/domain_profile.cfm?d=coolerplus.com
Magcubic,magcubic.com,https://www.magcubic.com/
ZWILLING,zwilling.com,https://www.zwilling.com/jp/
Jimveo,jimveo.com,https://jimveo.com/
Yuuscc,yuuscc.com,https://yuuscc.com/
YEAHYO,yeahyo.com,https://www.hugedomains.com/domain_profile.cfm?d=yeahyo.com
BMSE,bmse.com,https://bmse.com/
Butterfly,butterfly.com,https://apexmoon.com/
Keculbo,,
Trafalgar Square Publishing,,
KOJIHOMU,,
iGPSPORT,igpsport.com,https://www.igpsport.com/
HANMATEK,hanmatek.com,https://hanmatek.com/
Bosch,bosch.com,https://www.bosch.com/
LEKGAVD,,
BMAXPAD,,
TTJJ,,
SACRA MUSIC,sacramusic.com,https://sacramusic.com/
SP Silicon Power,,
OTTOCAST,ottocast.com,https://www.ottocast.com/
Galaxy,galaxy.com,https://www.galaxy.com/
LONPOO,lonpoo.com,http://www.lonpoo.com/
medicom,medicom.jp,https://medicom.jp/
Gigastone,gigastone.jp,https://www.gigastone.jp/
Graphixly,graphixly.com,https://graphixly.com/
Saluyar,,
Headwolf,headwolf.com,http://headwolf.com/
Wondershare,wondershare.com,https://www.wondershare.com/
NIMASO,nimaso.com,https://nimaso.com/
UNOKKI,unokki.com,https://unokki.com/
USAYAMA,usayama.com,https://usayama.com/
MiliCamp,milicamp.com,https://milicamp.com/
iFLEX,iflex.co.jp,https://iflex.co.jp/
ColorfulHome,colorfulhome.com,https://www.colorfulhome.com/
Biyoso,biyoso.com,https://biyoso.com/
RABLISS,,
OHAJIKI,ohajiki.com,https://ohajiki.com/
TORRAS,torras.com,https://torras.com/
ZAKUSA,,
YBYP,,
LENUTO,lenuto.com,https://lenuto.com/
Yonker,yonker.com,https://yonker.com/
Sinjimoru,sinjimoru.com,https://www.sinjimoru.com/
Oregon,oregon.com,https://oregon.com/
mimimamo,mimimamo.com,https://mimimamo.com/
BTIHCEUOT,,
STARTRC,,
PYLAMISON,,
TABITUS+,,
TP-Link,,
LAOPAO,laopao.jp,http://laopao.jp/
1Mii,1mii.com,https://1mii.com/
TOPADRE,topadre.com,https://topadre.com/
Clipa,clipa.com,https://clipa.com/
Portta,portta.com,https://portta.com/
KCUVSSKKII,,
BAL,bal.com,https://www.bal.com/
Vexify,,
JELLY JELLY GAMES,,
hololive OFFICIAL CARD GAME,hololiveofficialcardgame.com,https://hololiveofficialcardgame.com/
PONAOO,,
Annexfun,annexfun.com,https://annexfun.com/
Honda,,
Oliforu,,
Lector House,lectorhouse.com,https://lectorhouse.com/
ZTCUIK,,
Topcony,,
INFOCAR,,
Blaze Entertainment,blazeentertainment.com,https://www.hugedomains.com/domain_profile.cfm?d=blazeentertainment.com
Sinessy,,
MJJC,mjjc.com,https://mjjc.com/
inforest,inforest.com,https://www.inforest.com/
UYIKOO,,
Kiboer,kiboer.com,https://kiboer.com/
EJD,ejd.com,https://ejd.com/
RK ROYAL KLUDGE,,
Barbie,barbie.com,https://shop.mattel.com/pages/barbie
Franklin Sensors,,
Harvill Secker,,
Garnier Editora,,
etoe,etoe.com,https://etoe.com/
YZO,,
Business,business.com,https://www.business.com/
Flirva,,
Hachette Audio,hachetteaudio.com,https://www.hachettebookgroup.com/imprint/hachette-audio/
Laoynd,,
Mobile Fidelity Sound Lab,,
Island Uk,islanduk.com,https://islanduk.com/
ERJ,erj.com,https://erj.com/
Vintage Canada,vintagecanada.com,https://vintagecanada.com/
Imports,,
VITURE,,
iZotope,izotope.com,https://www.izotope.com/
ESET,eset.com,https://www.eset.com/us/
atRise,atrise.com,https://atrise.com/
TEOOT,teoot.com,https://www.teoot.com/
Scndtne,,
LETMY,,
Safigor,,
FAR EAST GADGET,fareastgadget.com,https://fareastgadget.com/
Tarkins,,
eue,eue.jp,https://eue.jp/
Twofox,twofox.com,https://twofox.com/
IMDEN CHARGE,,
ZRZK,,
SEMOTU,,
BeeTool,beetool.com,https://www.hugedomains.com/domain_profile.cfm?d=beetool.com
ACMEZING,acmezing.com,https://acmezing.com/
SCM Microsystems,scmmicrosystems.com,https://www.hugedomains.com/domain_profile.cfm?d=scmmicrosystems.com
Bolvunes,,
AooDen,,
MAXZIQF,,
TOWOOZ,,
138OnlineShop,,
GuMosh,gumosh.com,http://gumosh.com/
LINKChef,linkchef.com,https://linkchef.com/password
Perixx,perixx.com,https://perixx.com/
Douyear,,
Earbood,,
KYG,kyg.com,https://kyg.com/
VentaPak,ventapak.com,https://www.ventapak.com/
iplusmile,,
Sugeko,sugeko.com,https://sugeko.com/
DEXION,dexion.com,https://www.dexion.com/
NOE,,
AIZEO,aizeo.com,https://aizeo.com/
Plata Publishing,,
Bit Trade One,,
SwanScout,swanscout.com,https://www.swanscout.com/
Foxkoo,,
AboveTEK,abovetek.com,https://abovetek.com/
Avylet,,
WAVLINK,wavlink.com,https://www.wavlink.com/en_us/index.html
Everline,everline.jp,http://everline.jp/
8Bitdo,8bitdo.com,https://www.8bitdo.com/
CyclingDeal,,
BQEYZ,bqeyz.com,https://www.bqeyz.com/
AQielev,,
Roadlamp,roadlamp.com,https://roadlamp.com/
Lusciouz,lusciouz.com,https://lusciouz.com/
Shout! Factory,,
Mill Creek Entertainment,millcreekentertainment.com,https://www.millcreekent.com/
GoveeLife,goveelife.com,https://us.goveelife.com/
Judout,,
Handeful,handeful.com,https://handeful.com/
CME,cme.jp,http://cme.jp/
Syitren,syitren.com,https://www.syitren.com/
AHS,ahs.com,https://www.ahs.com/
SENPPLE,senpple.com,https://senpple.com/
Avrpqiwy,,
roborock,roborock.com,https://us.roborock.com/
MiiElAOD,,
aestiquo,aestiquo.com,https://aestiquo.com/
NorwegianStyle,norwegianstyle.jp,http://www.norwegianstyle.jp/
Maxell,,
THANKO,thanko.jp,https://www.thanko.jp/
LIHILIS,lihilis.com,https://lihilis.com/
NETGEAR,netgear.com,https://www.netgear.com:443/
KJK,kjk.com,https://kjk.com/
Blackstone Publishing,blackstonepublishing.com,https://www.blackstonepublishing.com/
Def Jam,defjam.com,https://defjamshop.com/
Philoent,,
Goal Zero,goalzero.com,https://goalzero.com/
B3 BIGTHREE,,
Kimwood,kimwood.com,https://kimwood.com/
Derila,derila.com,https://derilashop.com/
Google,google.com,https://www.google.com/
Globular Cluster,globularcluster.com,https://globularcluster.com/
Evercade,,
N-style,nstyle.com,https://nstyle.com/
Spopal,spopal.com,https://spopal.com/
Braun,braun.com,https://www.braun.jp/ja-jp
Tipkook,tipkook.com,https://www.tipkook.com/
NGK,ngk.com,https://www.ngk.com/
Speakers Corner,speakerscorner.com,https://speakerscorner.com/
LEGACY RECORDINGS,legacyrecordings.com,https://www.legacyrecordings.com/
Semtyait,,
BIUBLE,,
MEDICOM TOY,medicomtoy.com,https://www.medicomtoystore.com/
KingSpec,kingspec.com,https://www.kingspec.com/
Winning,winning.com,https://winning.com/
amBand,amband.com,https://amband.com/
Kung Long,kunglong.com,https://www.kunglong.com/
BGB,,
Mt.SUMI,,
Hodderscape,hodderscape.com,https://hodderscape.co.uk/
GEMBLO COMPANY,,
SAVOX,,
MINTGAMES,mintgames.com,https://mintgames.com/
Abrams Books,abramsbooks.com,https://www.abramsbooks.com/
NEC,nec.com,https://group.nec/global/en/
récolte,,
JLab,jlab.com,https://www.jlab.com/
Doubleday,doubleday.com,https://knopfdoubleday.com/doubleday/
Taishita,taishita.com,https://taishita.com/
Yale University Press,,
Bolinda/Audible Audio,,
Teenage Engineering,teenageengineering.com,https://teenage.engineering/
AMOVO,amovo.com,https://amovo.com/
Hi-Spec,hispec.com,https://hispec.com/
arboleaf,arboleaf.com,https://www.arboleaf.com/
Seefox,seefox.com,https://seefox.com/
Lemorele,lemorele.com,https://us.lemorele.com/
LEWITT,lewitt.jp,https://www.lewitt.jp/
MIHAMA,mihama.com,https://mihama.com/
Barnes & Noble,,
Wantek,wantek.com,https://wantek.com/
LEONINE,leonine.com,https://www.leoninestudios.com/
Funimation,,
Simon & Schuster,,
Seesii,seesii.com,https://seesii.com/
21Technology,21technology.com,https://21technology.com/
anoutway,anoutway.com,http://anoutway.com/
ATLANTIC RECORDS,,
Eonon,eonon.com,https://www.eonon.com/
Xvive,xvive.com,https://xvive.com/audio/
JPjoy,jpjoy.com,https://www.hugedomains.com/domain_profile.cfm?d=jpjoy.com
Faber & Faber,faberfaber.com,https://faberfaber.com/
pa-man,paman.com,https://paman.com/
Greneo,greneo.com,https://greneo.com/
CoolDove,,
Smith & Nephew,,
naef,,
KÄRCHER,,
King Records,kingrecords.com,http://kingrecords.com/
Earth Plus,earthplus.com,https://earthplus.com/
Deltran,deltran.com,https://deltran.com/
NSW,nsw.com,https://www.nsw.com/
Kitty Media,,
Magrathea Publishing,,
Sweet Cherry Publishing,sweetcherrypublishing.com,https://sweetcherrypublishing.com/
Arrow Video,arrowvideo.com,https://www.arrowvideo.com/
P&S Detailing Products,,
Public Publishing,publicpublishing.com,http://publicpublishing.com/
SAMSUNG,samsung.com,https://www.samsung.com/jp/
Kurilon,kurilon.co.jp,https://www.kurilon.co.jp//
Baby Shusher,babyshusher.com,https://babyshusher.com/
EveryDrop by Whirlpool,,
Workman Publishing,,
Authors Equity,authorsequity.com,https://authorsequity.com/
HiGrace,higrace.com,https://higrace.com/
ACKDZU,,
Perfection Learning,perfectionlearning.com,https://perfectionlearning.com/
Revive Classics,reviveclassics.com,https://suffolkjoinery.co.uk/
WSS Playground,,
SMM ITAKU (MUSIC),,
Rough Trade,,
TABWEE,tabwee.com,https://tabwee.com/
Scuf,scuf.com,https://www.scufgaming.com/jp/ja
ARZOPA,arzopa.com,https://www.arzopa.com/
Wipuku,,
Import,import.jp,https://import.jp/
METRO GOLDWYN MAYER,,
WARNER RECORDS,,
La Tromba,latromba.com,https://latromba.com/
"Farrar, Straus and Giroux",,
KRE,kre.com,https://www.kre.com/
ENTEKE,,
Puffin,puffin.com,https://www.puffin.com/
Focusrite,focusrite.com,https://focusrite.com/
Amigo Spiel + Freizeit,,
Nulea,nulea.com,https://nulea.com/
Hawk Press,hawkpress.com,https://hawkpress.com/
Outlook Verlag,,
MGM (Video & DVD),,
IK Multimedia,ikmultimedia.com,https://www.ikmultimedia.com/
MANGA ENTERTAINMENT,mangaentertainment.com,https://www.hugedomains.com/domain_profile.cfm?d=mangaentertainment.com
