ブランド,JAN45_49,jpTLD,日本語タイトル,manufacturer日本語,日本シグナル,公式HP候補,manufacturer例
HIKMICRO,,,,,,,HIKMICRO
HOUOA,,,,,,,HOUOA
HP,,,,,,,HPE ISS BTO
HUAKUA,,,,,,huakua.com,HUAKUA
Hachette Audio,,,,,,hachetteaudio.com,Hachette Audio
Handeful,,,,,,handeful.com,Handeful
Hanmir,,,,,,,Hanmir / hanmir
Happinet,Y,,,,Y,,Happinet
Harvill Secker,,,,,,,Harvill Secker
Hawk Press,,,,,,,Hawk Press
Headwolf,,,,,,,Headwolf
Hi-Spec,,,,,,,
HiGrace,,,,,,higrace.com,HiGrace
Hobbywing,Y,,Y,,Y,hobbywing.com,HOBBYWING
Hodderscape,,,,,,hodderscape.com,Hodderscape
Honda,Y,,,Y,Y,,ホンダ(Honda)
Hoxhyon,,,,,,,Hoxhyon
IAPOS,,,,,,,
IK Multimedia,Y,,,Y,Y,ikmultimedia.com,IK Multimedia(アイケーマルチメディア)
IKUNTOP,,,,,,,IKUNTOP
IMDEN CHARGE,,,,,,,IMDEN CHARGE
INFOCAR,,,,,,,INFOCAR
INTEX,,,,Y,Y,intex.com,INTEX / INTEX(インテックス) / インテックス
Import,,,,,,,"ROLLING STONES, THE"
Imports,,,,,,,
Iosare,,,,,,,Iosare
Island Uk,,,,,,,Island Uk
JELLY JELLY GAMES,Y,,,,Y,,JELLY JELLY GAMES
JGUG,,,,,,,JGUG
JIT,,,,,,,JIT
JLab,,,,,,jlab.com,JLab
JOKITA,,,,,,jokita.com,JOKITA
JPjoy,,,,Y,Y,jpjoy.com,株式会社ピチカードデザイン
Jimveo,,,,,,jimveo.com,Jimveo
Johnny & Associates,Y,,,,Y,,MENT RECORDING
Judout,,,,,,,Judout
Juliyas,,,,,,juliyas.com,Juliyas
KADOKAWA,Y,Y,Y,Y,Y,kadokawa.co.jp,KADOKAWA / KADOKAWA/角川書店 / 角川書店
KCUVSSKKII,,,,,,,KCUVSSKKII
KEENKLE,,,,Y,Y,,KEENKLE / KEENKLE For キャノン インク 331 330 / KEENKLE for crg-337
KEEPRO,,Y,Y,,Y,keepro.jp,"Shenzhen You & Me Electronics Co., LTD"
KEEZING,,,,,,keezing.com,"Dongguan Kalio electronic Technology Co., LTD"
KIOXIA,Y,,,Y,Y,kioxia.com,KIOXIA / キオクシア(KIOXIA) / キオクシア(株)
KJK,,,,,,kjk.com,KJK
KJKD,,,,,,,KJKD
KODAK,,,,Y,Y,kodak.com,JK Imaging Ltd / KODAK / Kodak
KOJIHOMU,,,,,,,KOJIHOMU
KRE,Y,,,,Y,kre.com,KRE
KT,Y,,,Y,Y,,コーエーテクモゲームス
KYG,,,,,,kyg.com,
Kachiari,,Y,Y,,Y,kachiari.jp,Kachiari / Kachiari KA-9
Keculbo,,,,,,,Keculbo
Kemeskin,,,,,,,"DongGuan Kemi Electronics Technology Co., Ltd / Dongguan Kemi Electronic Technology Co., Ltd"
Keypal,,Y,Y,,Y,keypal.jp,Keypal
Kiboer,,,Y,,Y,kiboer.com,Kiboer
Kimwood,,,,,,kimwood.com,kimwood
King Records,Y,,,Y,Y,kingrecords.com,キングレコード
KingSpec,,,,,,kingspec.com,kingspec
Kitty Media,,,,,,,Kitty Media
Klszear,,,,,,,Klszear
Krunia,,,,,,krunia.com,Krunia
Kung Long,,,,Y,Y,kunglong.com,ロング(Long)
Kungix,,,Y,,Y,kungix.com,Kungix
Kurilon,Y,Y,Y,Y,Y,kurilon.co.jp,クリロン化成株式会社
KÄRCHER,,,,Y,Y,,ケルヒャージャパン株式会社
LAOPAO,,Y,Y,,Y,laopao.jp,LAOPAO
LEGACY RECORDINGS,,,,,,legacyrecordings.com,Sony
LEKGAVD,,,,,,,LEKGAVD
LENUTO,,,,,,,"Daximen (Shenzhen) Technology Co.,Ltd"
LEONINE,,,,,,leonine.com,LEONINE Distribution GmbH
LETMY,,,,,,,LETMY
LEWITT,Y,Y,,,Y,lewitt.jp,LEWITT
LG,Y,,,,Y,,LG
LIHILIS,,,,,,lihilis.com,Lihilis
LINKChef,,,,,,linkchef.com,LONG PLUS
LISEN,,,,,,lisen.com,LISEN
LIXIL,,,,,,lixil.com,LIXIL
LONPOO,,,,,,,longping
LXCRTONE,,,,,,,LXCRTONE
La Tromba,,,,,,,LA TROMBA
Lamake,,,,,,lamake.com,CWB JP
Lamicall,,,,,,lamicall.com,Lamicall
Laoynd,,,,,,,Laoynd
Leacco,,,,Y,Y,leacco.com,LEACCO公式店 / Leacco
Lector House,,,,,,lectorhouse.com,Lector House
Lemorele,,,,,,lemorele.com,Lemorele
Lenovo,,,Y,,Y,lenovo.com,Lenovo
Letpedi,,,,,,,Letpedi
Lexar,,,Y,,Y,lexar.com,"Lexar / Lexar Co.,LTD"
Liaolee,,,Y,,Y,liaolee.com,Liaolee
Lions Gate,,,,,,lionsgate.com,LIONSGATE / Lions Gate
Listening Library,,,,,,,Listening Library
Logitech,Y,,Y,Y,Y,logitech.com,Logicool(ロジクール) / Logitech
LongFlight,,,,,,,LongFlight
Lusciouz,Y,,,,Y,,Lusciouz
LxTek,,,,Y,Y,,LxTek / LxTek BCI-381XL / LxTek Purify for エプソン インク MUG
MACOO,,,,,,,"Dongguan Diepin Technology Co.,Ltd / Dongguan Mingqinxin Electronics Co., Ltd. / ShenZhen Sailangde Technology Co., Ltd."
MANGA ENTERTAINMENT,,,,,,mangaentertainment.com,Manga
MAXZIQF,,,,,,,YAZAKI
MEDICOM TOY,Y,,,Y,Y,medicomtoy.com,メディコム・トイ(MEDICOM TOY)
METRO GOLDWYN MAYER,,,,,,,
MGM (Video & DVD),,,,,,,MGM (Video & DVD)
MIATONE,,,,,,miatone.com,MIATONE
MIHAMA,,,Y,,Y,mihama.com,MIHAMA
MINLU,,,,,,,MINLU
MINTGAMES,,,,,,,GEMBLO COMPANY
MJJC,Y,,,,Y,mjjc.com,MJJC
Magcubic,,,,,,magcubic.com,Magcubic
Magrathea Publishing,,,,,,,Magrathea Publishing
Marshall,,,,,,marshall.com,Marshall
Mattel Games,,,,Y,Y,mattelgames.com,マテル(MATTEL)
Maxell,Y,,,Y,Y,,Maxell(マクセル)
MiiElAOD,,,,,,,Miistore
MiliCamp,,,,,,,MiliCamp
Mill Creek Entertainment,,,,,,millcreekentertainment.com,Ultraman
Mobile Fidelity Sound Lab,,,,,,,Mobile Fidelity Sound Lab
Moondrop,,,,,,moondrop.com,Moondrop
Motowolf,Y,,,Y,Y,,ビクターエンタテインメント
Mountsafe,,,,,,,DYY
Mt.SUMI,Y,,,,Y,,Mt.SUMI
Mtricpop,,,,,,,Mtricpop
Mumay,,,,,,mumay.com,Mumay
Mzyxxel,,,,,,mzyxxel.com,Mzyxxel
N-style,Y,,,Y,Y,,エヌスタイル・ジャパンカンパニー株式会社
NEC,Y,,,,Y,nec.com,NEC / SYNNEX JAPAN CORPORATION
NETGEAR,,,,Y,Y,netgear.com,ネットギア
NGK,,,,Y,Y,ngk.com,日本特殊陶業(NGK)
NIMASO,,,,,,nimaso.com,NIMASO
NIPLUX,Y,Y,Y,Y,Y,niplux.jp,株式会社日創プラス
NOE,,,,,,,NOE
NSW,Y,,,Y,Y,nsw.com,バンダイナムコエンターテインメント
Negolas,,,,,,,Negolas
Newluck,,,,,,,Newluck
Nextorage,,,,,,,Nextorage
NorwegianStyle,,Y,Y,,Y,norwegianstyle.jp,NorwegianStyle
Nulea,,,,,,nulea.com,Nulea
OHAJIKI,Y,,,,Y,,OHAJIKI
OMKUY,,,,,,,OMKUY
OTTOCAST,,,,,,ottocast.com,OTTOCAST
Oliforu,,,,,,,"Shenzhen Kanglite Technology Co., Ltd."
Omron,Y,,,Y,Y,,オムロン(OMRON)
Onalra,,,,,,,onalra
Oregon,,,,Y,Y,oregon.com,ノーブランド
Outlook Verlag,,,,,,,Outlook Verlag
P&S Detailing Products,,,,,,,P&S Detailing Products
PACPAK,Y,,,Y,Y,,日本シール株式会社
PDP,,,,,,pdp.com,PDP
PHILIPS,,,Y,,Y,philips.com,PHILIPS / Philips
PONAOO,,,,,,,PONAOO
PRXA,,,,,,,PRXA
PYLAMISON,,,,,,,PYLAMISON
Paramount,,Y,Y,,Y,paramount.jp,Paramount / Paramount Studio
Paramount Home Entertainment,,,,,,,Paramount Home Entertainment / Paramount Home Entertainment/Lucas Films
Pearson Education,,,,,,,Pearson Education Limited / Pearson Japan
Penguin,,,,,,penguin.com,Penguin Books / Penguin Books Ltd
Perfection Learning,,,,,,perfectionlearning.com,Perfection Learning
Perixx,,,,,,perixx.com,
Philoent,,,,,,,"GuangDong SINOY Smart Technology CO, LTD"
Plata Publishing,,,,,,,Plata Publishing
Portta,,,,,,portta.com,PORTTA
ProtoArc,,,,,,protoarc.com,Fiico / ProtoArc
Public Publishing,,,,,,,Public Publishing
Puffin,,,,,,puffin.com,Puffin
Pursay,,,,,,,Pursay
RABLISS,Y,,,Y,Y,,KAEI株式会社
RK ROYAL KLUDGE,,,,,,,RK ROYAL KLUDGE
RUOEVA,,,,,,,RUOEVA
Ralkepy,,,,,,,Ralkepy
Random House Books for Young Readers,,,,,,,Penguin Audio / Random House Large Print / Signal
RemarksJapan,Y,,,,Y,,Remarks Japan
Revive Classics,,,,,,,Revive Classics
Rhino,,,,,,,ELEKTRA / Warner Bros
RiDATA,Y,,,,Y,ridata.com,RiDATA / RiTEK
Rikuto,,,,,,,Rikuto
Roadlamp,,,,,,roadlamp.com,Analogue Prod.
Rolling Square,,,,,,rollingsquare.com,Rolling Square
Rough Trade,,,,,,,Rough Trade
Runbod,,,,,,,Runbod
SACRA MUSIC,Y,,,,Y,,SACRA MUSIC
SAMSUNG,,,Y,,Y,samsung.com,SAMSUNG / Samsung
SAVOX,,,,,,,SAVOX
SAZAC,Y,,,Y,Y,sazac.com,サザック(Sazac)
SCM Microsystems,,,,,,scmmicrosystems.com,SCM Microsystems
SCYROX,,,,,,scyrox.com,SCYROX
SEMOTU,,,,,,,semotu
SENPPLE,,,,,,,SENPPLE
SHEENGO,,,,,,,SHEENGO / SHEENGO ( Non Canon OEM )
SK-CinDa,,,,,,,SK-CinDa
SKYBASIC,,,,,,,SKYBASIC
SME,Y,,,,Y,,SME / SMR(SME)(D)
SMM ITAKU (MUSIC),Y,,,,Y,,SMM itaku (music)
SNK,Y,,,,Y,,SNK
SONY MUSIC,Y,Y,Y,Y,Y,sonymusic.co.jp,SE(SME)(D) / SME Records / SMR
SOOEO,,,,,,sooeo.com,SOOEO
SP Silicon Power,,,,Y,Y,,シリコンパワー
SPAHER,,,,,,,SPAHER
SSYFEI,,,,,,,SSYFEI
STARTRC,,,,,,,STARTRC
STSEETOP,,,,,,stseetop.com,STSEETOP
STUDIOCANAL,,,,,,,
Safigor,,,,,,,Safigor
Saluyar,,,,,,,"SHENZHEN HAIJIXING TECHNOLOGY CO.,LTD"
SanDisk,,,,Y,Y,,SanDisk / サンディスク
Sanlao,,,,,,,Sanlao
Scndtne,,,,,,,Scndtne / Topsay
Screwpop,,,,,,screwpop.com,Screwpop
Scuf,,,Y,,Y,scuf.com,SCUF
Seefox,,,,,,seefox.com,
Seesii,,,,,,seesii.com,SEESII
Seiko,Y,,,Y,Y,,セイコークロック(Seiko Clock)
Semtyait,,,,,,,Semtiyait
Shout! Factory,,,,,,,
SilentPower,Y,Y,,,Y,silentpower.jp,SilentPower
Simon & Schuster,,,,,,,Simon & Schuster Audio
Sinessy,,,,,,,Sinessy
Sinjimoru,,,,,,sinjimoru.com,Sinjimoru Co.Ltd
Smith & Nephew,,,,Y,Y,,スミス・アンド・ネフュー
Sony,Y,Y,,Y,Y,sony.jp,SONY / Sony / ソニー(SONY)
Sony Pictures Home Entertainment,Y,,,,Y,,Happinet
Soundcore,,,,,,soundcore.com,Anker
Speakers Corner,,,,,,,Analogue Productions
Speiow,,,,,,,Speiow
Spopal,,,,,,spopal.com,Spopal
Sugeko,,,,,,sugeko.com,sugeko
Svoko,,,,,,,
SwanScout,,,,,,swanscout.com,"‎Shenzhen Swanscout Innovations Technology Co., Ltd."
Sweet Cherry Publishing,,,,,,sweetcherrypublishing.com,Cherry Stone Publishing
Syitren,,,,,,syitren.com,syitren
TABITUS+,,,,,,,TABITUS+
TABWEE,,,,,,tabwee.com,TABWEE
TANITA,Y,,,Y,Y,tanita.com,タニタ(Tanita)
TAREASS,,,,,,,TAREASS
TELESIN,,,,,,telesin.com,TELESIN / TELESIN°
TEOOT,,,,,,teoot.com,TEOOT
THANKO,Y,Y,Y,Y,Y,thanko.jp,サンコー / サンコー(Thanko)
THREEKEY,,,,,,,"Shenzhen Suiqi Innovation Technology Co.,Ltd. / Threekey"
TOPADRE,,,,,,topadre.com,"Shenzhenshi Ezreal Technology Co.,Ltd"
TORRAS,,,,,,torras.com,TORRAS
TOWOOZ,,,,,,,TOWOOZ
TP-Link,,,,,,,TP-Link
TRAOO,,,,,,,TRAOO
TTJJ,Y,,,,Y,,
TXWDFHL,,,,,,,TXWDFHL
Taishita,Y,,,Y,Y,,ビクターエンタテインメント
Tarkins,,,,,,,"Dongguan XinXingYao Industrial Co., Ltd"
Tecaki,,,,,,,Tecaki
Teenage Engineering,Y,,,,Y,teenageengineering.com,Teenage Engineering
Tibnozt,,,,,,,Tibnozt
Tipkook,,,,,,tipkook.com,shenzhenshijinfangxingshiyeyouxiangongsi
Topcony,,,,,,,Topcony
Toyomii,,,,,,,Toyomii
Trafalgar Square Publishing,,,,,,,Trafalgar Square Publishing
Tryone,,,,,,,Tryone
Trywon,,,,,,trywon.com,Trywon
Tufuha,,,,Y,Y,,Tufuha for キヤノン 用 インク BCI-331XL BCI-330XL / Tufuha for ブラザー用 TN32JXL トナー
Turtleback,,,,,,turtleback.com,Turtleback Books
Tuwejia,,,,,,tuwejia.com,Tuwejia
Twofox,,,,,,,
UGREEN,,,,,,ugreen.com,Ugreen Group Limited
UNIVERSAL MUSIC GROUP,Y,,,Y,Y,,BE-U / Universal Music / Universal Music =music=
UNOKKI,,,,,,,"Heyuan Ransheng Innovative Materials Co., Ltd"
USAYAMA,Y,,Y,Y,Y,usayama.com,株式会社チャーム
UTRAI,,,,,,utrai.com,UTRAI
UYIKOO,,,,,,,UYIKOO
Universal,Y,,,Y,Y,,Universal / Universal Studios / Universal Studios Home Entertainment
Universal Pictures,,,,,,universalpictures.com,
VANBOKEE,,,,,,,VANBOKEE
VELIKE,,,,,,,VELIKE
VITURE,,,,,,,VITURE
Vellope,,,,,,,Vellope
VentaPak,,,,,,ventapak.com,VentaPak
Veoyads,,,,,,veoyads.com,"Shenzhen Fangxin Technology Co.,LTD"
Vexify,,,,,,,Vexify
Vibaleg,,,,,,,Vibaleg
Vintage Canada,,,,,,,Vintage Canada
Vulendu,,,,,,,Vulendu
WARNER BROS,,,,,,warnerbros.com,Fox (Warner) / Warner Home Video
WARNER RECORDS,,,,,,,HT
WAVLINK,,,,,,wavlink.com,WAVLINK
WISHOLY,,,,,,wisholy.com,WISHOLY
WORKPRO,,,,,,workpro.com,"HANGZHOU GREATSTAR INDUSTRIAL CO.,LTD"
WSS Playground,Y,,,,Y,,SNK
Wantek,,,,,,,Wantek
Warner,,,,,,warner.com,Warner Archives / Warner Home Video
Winning,Y,,,Y,Y,winning.com,Winning ウイニング
Wipuku,,,,,,,
Wondershare,Y,,,,Y,wondershare.com,Wondershare
Workman Publishing,,,,,,,Workman Publishing Company
Xvive,,,,Y,Y,xvive.com,Xvive エックスバイブ
YBYP,,,,,,,"Shenzhen Daximen Import and Export Trading Co., Ltd."
YEAHYO,,,,,,yeahyo.com,YEAHYO
YIERSAN,,,,,,,YIERSAN
YINCODI,,,,,,,YINCODI
YOCOEI,,,,,,,YOCOEI
YOSH,,,,,,,YOSH
YUDOFICAL,,,,,,,YUDOFICAL
YZO,,,,,,,"JOYCHOU INDUSTRIAL HONG KONG., LIMITED"
Yaizk,,,,,,,YaizK / Yaizk
Yale University Press,,,,,,,Yale University Press
Yaotin,,,,,,,Yaotin
Yibest,,,,,,,Yibest
Yokizu,,,,,,,Yokizu
Yonker,Y,,,Y,Y,yonker.com,松吉医科器械
Yorano,,,,,,,Yorano
Yukimoto,,,,,,,Yukimoto
Yuuscc,,,,,,,Yuuscc
ZAKUSA,,,,,,,"Wenzhou Zhuochuang Electrical Appliance Co., Ltd."
ZIPPO,Y,,,Y,Y,zippo.com,ZIPPO(ジッポー)
ZRZK,,,,,,,ZRZK
ZTCUIK,,,,,,,ZTCUIK
ZVZHM,,,,,,,
ZWILLING,,,Y,Y,Y,zwilling.com,ツヴィリングJ.A.ヘンケルス(Zwilling J.A. Henckels)
ZYQ,,,,,,,ZYQ
ZZU,,,,,,,ZZU
Zach Top,,,,,,zachtop.com,ANALOGUE PRODUCTIONS / Analogue Prod.
Zeniss,,,,,,zeniss.com,Shenzhen Boyi Electronics Co.LTD / Zeniss
actiTube,,,,Y,Y,,アクティチューブ(actiTube)
adidas Originals,,,,,,,
aestiquo,,,Y,,Y,aestiquo.com,Aestiquo
amBand,,,,,,amband.com,amBand
anoutway,,,,,,,anoutway
arboleaf,,,,,,arboleaf.com,Sattie
atRise,Y,,,,Y,atrise.com,atRise
atolla,,,,,,atolla.com,SHENZHEN TIANHANGXING ELECTRONICS CO LTD
avex trax,Y,,,,Y,avextrax.com,avex trax
basemax,,,,,,,Basemax
ejet,,,,Y,Y,ejet.com,ejet BC345 BC346 BC345XL BC346XL インク / ejet SAT SAT-6CL サツマイモ インク / ejet ブラザー 用 インクカートリッジ lc111
etoe,,,,,,,etoe
eue,,Y,Y,,Y,eue.jp,jp.co
happilaff,,,Y,,Y,happilaff.com,happilaff
hololive OFFICIAL CARD GAME,Y,,,,Y,hololiveofficialcardgame.com,hololive
htrahy,,,,,,,htrahy
iClever,,,,,,iclever.com,iClever
iFLEX,,Y,,,Y,iflex.co.jp,iFLEX
iGPSPORT,,,,,,igpsport.com,iGPSPORT
iWIMIUS,,,,,,,WIMIUS
iZotope,Y,,,,Y,izotope.com,iZotope
ieGeek,,,,,,iegeek.com,ieGeek
iface,Y,,,Y,Y,iface.com,Hamee(ハミィ)
inforest,,,,Y,Y,inforest.com,インフォレスト
iplusmile,,,,,,,iplusmile
medicom,Y,Y,Y,Y,Y,medicom.jp,メディコム・トイ(MEDICOM TOY)
mimimamo,Y,,Y,Y,Y,mimimamo.com,フィフティスクエア株式会社
naef,,,,Y,Y,,ネフ社
pa-man,,,,,,,
roborock,,,,,,roborock.com,roborock
récolte,Y,,,Y,Y,,ウィナーズ株式会社
skybest,,,,,,skybest.com,skybest
suptronics,,,,Y,Y,suptronics.com,Raspberry Pi財団
viangs,,,,,,,cxiao
zonzon,,,,,,,zonzon
