メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
Bandai Namco,Bandai Namco,英字ブランド,,,,,,,,,,不明,,
ノーブランド品,ノーブランド品,ノーブランド・個人らしき,,,,,,,,,,不明,[既取得55社(T-20260804-001)] ノーブランド品でメーカー実体を特定できず。公式サイト確認不可のため空欄 / 規模:中小 / 元メーカー名表記:Ligare / ノーブランド品,
LxTek,LxTek,英字ブランド,,,,,,,,,,不明,,
ビクターエンタテインメント,ビクターエンタテインメント,和名法人らしき,ビクターエンタテインメント株式会社,,〒150-0011 東京都渋谷区東1丁目2番20号 渋谷ファーストタワー,https://www.jvcmusic.co.jp/,,https://www.jvcmusic.co.jp/cs/,,Exa検索(エージェント取得),https://www.jvcmusic.co.jp/company/profile.html ; https://www.jvcmusic.co.jp/cs/,確定,"[Exa検索(エージェント取得)] 株式会社JVCケンウッド全額出資（資本金55億9,500万円）。**電話は空欄**：公式会社概要に代表番号の記載がなく、LinkedInの Phone 欄は『2026.05.20, 2026.05.27…』と日付が入った壊れたデータだったため採用しない（集約サイトのフィールドを信じない）。連絡はフォーム経由 / Exa取得日:2026-09-04",
スクウェア・エニックス(SQUARE ENIX),スクウェア・エニックス,和名法人らしき,,,,https://www.jp.square-enix.com/,,https://www.hd.square-enix.com/jpn/contact.html,,既取得55社(T-20260804-001),https://www.hd.square-enix.com/jpn/contact.html,確定,[既取得55社(T-20260804-001)] ゲーム・キャラ商品。直取引困難・正規窓口。フォームのみ / 規模:大手 / 元メーカー名表記:スクウェア・エニックス SQUARE ENIX,SQUARE ENIX
ジェイストーム,ジェイストーム,和名法人らしき,株式会社ストームレーベルズ（旧・株式会社ジェイ・ストーム / 2024-01-01 社名変更）,6011001041935,〒107-0052 東京都港区赤坂9丁目6番35号,https://www.storm-labels.co.jp/,,,,Exa検索(エージェント取得),https://job.mynavi.jp/27/pc/search/corp254335/outline.html ; https://ja.wikipedia.org/wiki/ストームレーベルズ,候補,[Exa検索(エージェント取得)] ★電話は意図的に空欄にした。見つかった 03-3470-5560 は『採用担当専用※お電話でのお問合せは極力ご遠慮ください』と明記されており、営業窓口ではない（法務B §9-3 の趣旨に従い、拒否の意思表示がある連絡先は登録しない）。法人番号はWikipedia由来のため候補。レコード会社であり仕入れ先ではない / Exa取得日:2026-09-04,
iClever,iClever,英字ブランド,,,,,,,,,,不明,,
Soundcore,Soundcore,英字ブランド,,,,,,,,,,不明,,
宝島社,宝島社,和名法人らしき,株式会社宝島社,,東京都千代田区一番町25番地,https://tkj.jp/,03-3239-0181,,,Exa検索(エージェント取得),https://tkj.jp/company/outline/index.html ; https://tkj.jp/faq/,確定,[Exa検索(エージェント取得)] 電話は総務部（平日10-18時）。公式FAQに掲載。フォームURLは特定できず未取得。大手出版社（従業員206名・資本金3億円）で、初回小ロットの直取引の相手ではない / Exa取得日:2026-09-04,
Paramount,Paramount,英字ブランド,,,,,,,,,,不明,,
Gudluky,Gudluky,英字ブランド,,,,,,,,,,不明,,
KODAK,KODAK,英字ブランド,,,,,,,,,,不明,,
ワーナー・ブラザース・ホームエンターテイメント,ワーナー・ブラザース・ホームエンターテイメント,和名法人らしき,,,,,,,,,,不明,,
Dyoac,Dyoac,英字ブランド,,,,,,,,,,不明,,
ワコーズ(Wako's),ワコーズ,和名法人らしき,株式会社和光ケミカル,,〒250-0875 神奈川県小田原市南鴨宮1丁目1番1号,https://www.wako-chemical.co.jp/,0465-48-2211,,,Exa検索(エージェント取得),https://www.wako-chemical.co.jp/corporate/profile/ ; https://www.wako-chemical.co.jp/corporate/locations/,確定,"[Exa検索(エージェント取得)] 『WAKO'S』は株式会社和光ケミカルのブランド。1972年創業・資本金5,000万円・全国33営業所の中堅メーカー。研究開発から販売・営業まで自社一貫。フォームURLは特定できず未取得。**規模的には打診の余地がある中堅** / Exa取得日:2026-09-04",Wako's
ワーナーミュージック・ジャパン,ワーナーミュージック・ジャパン,和名法人らしき,株式会社ワーナーミュージック・ジャパン,7010401002133,〒106-0032 東京都港区六本木1丁目4番5号,https://wmg.jp/,,https://supportform.jp/wmj,,Exa検索(エージェント取得),https://wmg.jp/corporate/company/ ; https://pitact.com/companies/detail/26121_7010401002133,候補,[Exa検索(エージェント取得)] 米ワーナーミュージック グループの日本法人。**電話は空欄**（公式サイトに記載なし）。法人番号・所在地は第三者DB由来のため行全体を候補とした。★問い合わせフォームには『**中古品をご購入された場合』『フリーマーケット・オークション・個人間のネット通販などでご購入された場合』は商品不良の対応対象外**と明記されており、消費者向け窓口である / Exa取得日:2026-09-04,
BANDAI SPIRITS(バンダイ スピリッツ),BANDAI SPIRITS,和名法人らしき,,,,,,,,,,不明,,バンダイ スピリッツ
Bloomsbury,Bloomsbury,英字ブランド,,,,,,,,,,不明,,
Razer(レイザー),Razer,和名法人らしき,,,,,,,,,,不明,,レイザー
ラブホーム美家,ラブホーム美家,和名法人らしき,,,,,,,,,,不明,[Exa検索(エージェント取得)] **取得ゼロ。** 検索結果は価格.comの商品一覧と個人ブログのみで、ブランド運営元の一次情報がない。『lovehome株式会社』（兵庫県神戸市・法人番号1140001139871）がヒットしたが、**2025年9月設立の別法人でブランドとの関係が確認できないため採用しなかった**（名前が似ているだけで結びつけるのは推測）。Amazon専売の中国系ブランドの可能性が高い / Exa取得日:2026-09-04,
SME,SME,英字ブランド,,,,,,,,,,不明,,
Hamee(ハミィ),Hamee,和名法人らしき,,,,https://hamee.co.jp/company,0465-22-8064,https://hamee.co.jp/contact,,既取得55社(T-20260804-001),https://hamee.co.jp/company,確定,[既取得55社(T-20260804-001)] 神奈川県小田原市。代表電話。問い合わせはフォーム。卸窓口 oroshi@hamee.co.jp / 規模:中小 / 元メーカー名表記:Hamee ハミィ,ハミィ
Moondrop,Moondrop,英字ブランド,,,,,,,,,,不明,,
バンダイビジュアル,バンダイビジュアル,和名法人らしき,,,,,,,,,,不明,,
BURTLE,BURTLE,英字ブランド,,,,,,,,,,不明,,
タカラトミー(TAKARA TOMY),タカラトミー,和名法人らしき,,,,,,,,,,不明,,TAKARA TOMY
Sony,Sony,英字ブランド,,,,,,,,,,不明,,
NBCユニバーサル・エンターテイメントジャパン,NBCユニバーサル・エンターテイメントジャパン,和名法人らしき,,,,,,,,,,不明,,ユニバーサル・エンターテイメントジャパン | NBC
Simon & Schuster,Simon & Schuster,英字ブランド,,,,,,,,,,不明,,
GPC Image Flex,GPC Image Flex,英字ブランド,,,,,,,,,,不明,,
Mumay,Mumay,英字ブランド,,,,,,,,,,不明,,
COOAU,COOAU,英字ブランド,,,,,,,,,,不明,,
BOS,BOS,英字ブランド,,,,,,,,,,不明,,
Makita(マキタ),Makita,和名法人らしき,株式会社マキタ（Makita Corporation）,,〒446-8502 愛知県安城市住吉町3丁目11番8号,https://www.makita.co.jp/,0566-98-1711,https://www.makita.co.jp/inquiry/,,Exa検索(エージェント取得),https://www.makita.co.jp/company/about/data/ ; https://www.makita.co.jp/inquiry/,確定,"[Exa検索(エージェント取得)] 電話は本社代表。消費者窓口は 0120-17-1197。連結売上7,776億円・連結従業員17,586名の東証上場大手で、初回小ロットの直取引の相手ではない / Exa取得日:2026-09-04",マキタ
BOIFUN,BOIFUN,英字ブランド,,,,,,,,,,不明,,
KADOKAWA,KADOKAWA,英字ブランド,,,,,,,,,,不明,,
愛知電線,愛知電線,和名法人らしき,愛知電線株式会社,,〒456-0059 愛知県名古屋市熱田区八番二丁目17番9号,https://www.aichidensen.co.jp/,052-661-3891,https://www.aichidensen.co.jp/contact/,,Exa検索(エージェント取得),https://www.aichidensen.co.jp/company/ ; https://www.aichidensen.co.jp/contact/,確定,[Exa検索(エージェント取得)] ★フォームに営業お断りの明記あり:「こちらのメールフォームからのセールス・勧誘等は、『特定電子メールの送信に関する法律』に基づき、固くお断りします」「セールス・勧誘等があった場合、迷惑メール相談センターに通報します」。**このフォームから営業してはいけない**（法務B §9-3）。1925年創業・従業員70名・資本金1600万円の中小メーカーで本丸に近いが、接触するなら電話または別ルート / Exa取得日:2026-09-04,
コナミデジタルエンタテインメント(Konami Digital Entertainment),コナミデジタルエンタテインメント,和名法人らしき,株式会社コナミデジタルエンタテインメント,,〒104-0061 東京都中央区銀座1丁目11番1号,https://www.konami.com/games/,03-6867-0573,https://www.konami.com/games/inquiry/jp/,,Exa検索(エージェント取得),https://www.konami.com/games/corporate/ja/ ; https://www.konami.com/games/contact/ja/,確定,[Exa検索(エージェント取得)] 電話は本店代表。フォームはお客様相談室（消費者向け）。大手で直取引の相手ではない / Exa取得日:2026-09-04,Konami Digital Entertainment
すごろくや,すごろくや,和名法人らしき,"株式会社すごろくや（SUGOROKUYA Co., Ltd.）",,〒164-0003 東京都中野区東中野1-51-3（本社ビル）,https://sugorokuya.jp/,03-5327-4568,https://sugorokuya.jp/contact/form,,Exa検索(エージェント取得),https://sugorokuya.jp/wholesale_guide ; https://sugorokuya.jp/introduction.html,確定,[Exa検索(エージェント取得)] ★★★**取引不可が確定した社。連絡しないこと。** 卸流通事業ページに『**実店舗をお持ちでないオンライン専売業者さまとのお取引につきましては一律お断りをさせていただいております。お問い合わせを頂戴いたしましても、ご要望にお応えできない**』と明記。理由は『大手ECモールを中心としたオンライン販売での価格競争を避け、商品価値を守るため』。当社（Amazon専業・実店舗なし）は明確に対象外。2006年創業・従業員38名 / Exa取得日:2026-09-04,
Betenet,Betenet,英字ブランド,,,,,,,,,,不明,,
ブシロード(BUSHIROAD),ブシロード,和名法人らしき,,,,https://bushiroad.com/,03-5348-0852,https://bushiroad.com/support,,既取得55社(T-20260804-001),https://bushiroad.com/telephonesupport,確定,[既取得55社(T-20260804-001)] 株式会社ブシロード（東京都中野区）。電話はトレカ専用窓口。他はフォーム / 規模:大手 / 元メーカー名表記:ブシロード BUSHIROAD,BUSHIROAD
Logitech,Logitech,英字ブランド,,,,,,,,,,不明,,
Honda,Honda,英字ブランド,,,,,,,,,,不明,,
Warner,Warner,英字ブランド,,,,,,,,,,不明,,
Universal Pictures,Universal Pictures,英字ブランド,,,,,,,,,,不明,,
THREEKEY,THREEKEY,英字ブランド,,,,,,,,,,不明,,
CASIO(カシオ),CASIO,和名法人らしき,,,,,,,,,,不明,,カシオ
RemarksJapan,RemarksJapan,英字ブランド,,,,,,,,,,不明,,
skybest,skybest,英字ブランド,,,,,,,,,,不明,,
Evinof,Evinof,英字ブランド,,,,,,,,,,不明,,
ieGeek,ieGeek,英字ブランド,,,,,,,,,,不明,,
PHILIPS,PHILIPS,英字ブランド,,,,,,,,,,不明,,
ファイナル(final),ファイナル,和名法人らしき,,,,,,,,,,不明,,final
バッファロー,バッファロー,和名法人らしき,,,,,,,,,,不明,,
SoundPEATS(サウンドピーツ),SoundPEATS,和名法人らしき,,,,,,,,,,不明,,サウンドピーツ
‎バーベイタム(Verbatim),バーベイタム,和名法人らしき,,,,,,,,,,不明,,Verbatim
Lexar,Lexar,英字ブランド,,,,,,,,,,不明,,
KT,KT,英字ブランド,,,,,,,,,,不明,,
Capitol,Capitol,英字ブランド,,,,,,,,,,不明,,
JIT,JIT,英字ブランド,,,,,,,,,,不明,,
GPC Image,GPC Image,英字ブランド,,,,,,,,,,不明,,
SanDisk,SanDisk,英字ブランド,,,,,,,,,,不明,,
Hobbywing,Hobbywing,英字ブランド,,,,,,,,,,不明,,
Listening Library,Listening Library,英字ブランド,,,,,,,,,,不明,,
SBクリエイティブ,SBクリエイティブ,和名法人らしき,,,,,,,,,,不明,,クリエイティブ | SB
アイオーデータ,アイオーデータ,和名法人らしき,,,,https://www.iodata.jp/company/,,https://www.iodata.jp/support/after/tel/,,既取得55社(T-20260804-001),https://www.iodata.jp/support/after/tel/,確定,[既取得55社(T-20260804-001)] 直取引困難・正規窓口。株式会社アイ・オー・データ機器(石川県金沢市)。サポートは製品別窓口 / 規模:大手 / 元メーカー名表記:アイオーデータ I-O DATA,
小学館,小学館,和名法人らしき,,,,,,,,,,不明,,
Mobile Fidelity Sound Lab,Mobile Fidelity Sound Lab,英字ブランド,,,,,,,,,,不明,,
トイズファクトリー,トイズファクトリー,和名法人らしき,,,,,,,,,,不明,,
KIOXIA,KIOXIA,英字ブランド,,,,,,,,,,不明,,
SHEENGO,SHEENGO,英字ブランド,,,,,,,,,,不明,,
Runbod,Runbod,英字ブランド,,,,,,,,,,不明,,
Besecou,Besecou,英字ブランド,,,,,,,,,,不明,,
KEENKLE,KEENKLE,英字ブランド,,,,,,,,,,不明,,
ejet,ejet,英字ブランド,,,,,,,,,,不明,,
MACOO,MACOO,英字ブランド,,,,,,,,,,不明,,
詰め替えそのまま,詰め替えそのまま,和名法人らしき,株式会社三輝,,〒144-0032 東京都大田区北糀谷1-20-8 三輝ビル,https://sanki-ota.com/,03-3742-2345,https://sanki-ota.com/contact,info@sanki-web.net,Exa検索(エージェント取得),https://www.sanki-web.net/html/company.html ; https://sanki-ota.com/contact,確定,[Exa検索(エージェント取得)] ★本丸候補。1968年創業・大田区の自社工場を持つ中小メーカー。『詰め替えそのまま』は自社ブランド製品。サイトに『お問合せ / 資料請求』窓口があり、営業お断りの記載は見当たらない。メールは公式通販サイトの会社概要に公開（組織アドレス）。**初回小ロットの交渉相手として最有力** / Exa取得日:2026-09-04,
Keypal,Keypal,英字ブランド,,,,,,,,,,不明,,
Boleve,Boleve,英字ブランド,,,,,,,,,,不明,,
Gimama,Gimama,英字ブランド,,,,,,,,,,不明,,
ProtoArc,ProtoArc,英字ブランド,,,,,,,,,,不明,,
Penguin,Penguin,英字ブランド,,,,,,,,,,不明,,
シー・エフ・デー販売,シー・エフ・デー販売,和名法人らしき,,,,,,,,,,不明,,
medicom,medicom,英字ブランド,,,,,,,,,,不明,,
Happinet,Happinet,英字ブランド,,,,,,,,,,不明,,
マイクロソフト,マイクロソフト,和名法人らしき,日本マイクロソフト株式会社,2010401092245,〒108-0075 東京都港区港南2-16-3 品川グランドセントラルタワー,https://www.microsoft.com/ja-jp/,03-4332-5300,https://aka.ms/mph,,Exa検索(エージェント取得),https://www.microsoft.com/ja-jp/mscorp/branch ; https://news.microsoft.com/ja-jp/cp/outline/,確定,[Exa検索(エージェント取得)] 電話は公式サイトの本社/支店情報に記載の大代表（受付9:00-17:30）。法人番号は第三者DB由来のため参考。米マイクロソフトの日本法人で、初回小ロットの直取引の相手ではない / Exa取得日:2026-09-04,
カプコン(CAPCOM),カプコン,和名法人らしき,"株式会社カプコン（CAPCOM CO., LTD.）",,〒540-0037 大阪市中央区内平野町三丁目1番3号,https://www.capcom.co.jp/,06-6920-3600,https://www.capcom.co.jp/ir/inquiry.html,,Exa検索(エージェント取得),https://www.capcom.co.jp/ir/company/info.html ; https://www.capcom.co.jp/ir/inquiry/index_01-2.html,確定,"[Exa検索(エージェント取得)] ★接触方法の指定あり:『営業・ご提案については書面にて、カプコン本社宛にお送りください』（お問い合わせ窓口ページに明記）。電話・フォームでの営業は不可。東証上場・連結売上1,953億円の大手で直取引の相手ではない / Exa取得日:2026-09-04",CAPCOM
iface,iface,英字ブランド,,,,,,,,,,不明,,
King Records,King Records,英字ブランド,,,,,,,,,,不明,,
BabySmile,BabySmile,英字ブランド,,,,,,,,,,不明,,
本間ゴルフ,本間ゴルフ,和名法人らしき,"株式会社本間ゴルフ（HONMA GOLF CO., LTD.）",,〒106-0041 東京都港区麻布台1-3-1 麻布台ヒルズ森JPタワー46階（東京本社）／酒田工場 〒998-8550 山形県酒田市宮海字中砂畑27-18,https://www.honmagolf.com/jp,0120-941-380,https://honmagolf-ec.com/jp/inquiry/,,Exa検索(エージェント取得),https://www.honmagolf.com/jp/corporate-facts ; https://honmagolf-ec.com/jp/inquiry/,確定,[Exa検索(エージェント取得)] グローバル本社は上海。日本側は東京本社と酒田工場。従業員712名の上場企業で、初回小ロットの直取引の相手ではない / Exa取得日:2026-09-04,
ARZOPA,ARZOPA,英字ブランド,,,,,,,,,,不明,,
アイリスオーヤマ(IRIS OHYAMA),アイリスオーヤマ,和名法人らしき,,,,,,,,,,不明,,IRIS OHYAMA
Hoxhyon,Hoxhyon,英字ブランド,,,,,,,,,,不明,,
BESROY,BESROY,英字ブランド,,,,,,,,,,不明,,
ピュアクリスタル,ピュアクリスタル,和名法人らしき,,,,,,,,,,不明,,
Turtleback,Turtleback,英字ブランド,,,,,,,,,,不明,,
HAGOOGI,HAGOOGI,英字ブランド,,,,,,,,,,不明,,
レベルファイブ,レベルファイブ,和名法人らしき,,,,,,,,,,不明,,
LEGO(レゴ),LEGO,和名法人らしき,,,,https://www.lego.com/ja-jp,0800-888-0197,https://www.lego.com/ja-jp/service/contact-us,,既取得55社(T-20260804-001),https://www.lego.com/ja-jp/service/contact-us,確定,[既取得55社(T-20260804-001)] 海外ブランド。レゴ日本カスタマーサービス0800-888-0197。直取引困難・代理店/正規窓口(カスタマーサービス)。メール無くフォームのみ / 規模:海外 / 元メーカー名表記:レゴ LEGO,レゴ
Zach Top,Zach Top,英字ブランド,,,,,,,,,,不明,,
集英社,集英社,和名法人らしき,,,,,,,,,,不明,,
Paramount Home Entertainment,Paramount Home Entertainment,英字ブランド,,,,,,,,,,不明,,
バンプレスト,バンプレスト,和名法人らしき,,,,,,,,,,不明,,
Gakken,Gakken,英字ブランド,,,,,,,,,,不明,,
東宝,東宝,和名法人らしき,,,,,,,,,,不明,,
HEIBAS,HEIBAS,英字ブランド,,,,,,,,,,不明,,
TXWDFHL,TXWDFHL,英字ブランド,,,,,,,,,,不明,,
Yaizk,Yaizk,英字ブランド,,,,,,,,,,不明,,
CPWORLD,CPWORLD,英字ブランド,,,,,,,,,,不明,,
GADEBAO,GADEBAO,英字ブランド,,,,,,,,,,不明,,
MINLU,MINLU,英字ブランド,,,,,,,,,,不明,,
Tufuha,Tufuha,英字ブランド,,,,,,,,,,不明,,
TANITA,TANITA,英字ブランド,,,,,,,,,,不明,,
HUAKUA,HUAKUA,英字ブランド,,,,,,,,,,不明,,
タカギ(Takagi),タカギ,和名法人らしき,株式会社タカギ,,〒802-8540 福岡県北九州市小倉南区堀越413（本社工場）,https://takagi.co.jp/,048-615-3551,https://hi-business.takagi.co.jp/corporate.php,b2b@takagi.co.jp,Exa検索(エージェント取得),https://takagi.co.jp/company/outline.html ; https://hi-business.takagi.co.jp/corporate.php,確定,"[Exa検索(エージェント取得)] ★**法人取引専用の窓口が公開されている稀なケース**。電話 048-615-3551 とメール b2b@takagi.co.jp はいずれも受注センター（埼玉県さいたま市）の B2B 窓口。代表番号は 093-962-0941。売上394億円・従業員1,426名の大手だが、B2B 窓口が明示されている点で打診の余地はある / Exa取得日:2026-09-04",Takagi
NEW ERA(ニューエラ),NEW ERA,和名法人らしき,ニューエラジャパン合同会社,8013203001780,〒153-0051 東京都目黒区上目黒2-1-1 中目黒GTタワー18F,https://www.neweracap.jp/,03-5773-6733,,support@neweraonlinestore.jp,Exa検索(エージェント取得),https://www.neweracap.jp/policies/legal-notice ; https://www.neweracap.jp/a/c/company/,確定,[Exa検索(エージェント取得)] 米ニューエラ（1920年創業）の日本法人。電話・メールの出典は特定商取引法に基づく表記＝一次情報。ただしメールはオンラインストアのサポート窓口。ブランド品のため出品時にブランドゲート・並行輸入の論点あり（サトルのA-4案件） / Exa取得日:2026-09-04,ニューエラ
SKYBASIC,SKYBASIC,英字ブランド,,,,,,,,,,不明,,
Eufy (ユーフィ),Eufy,和名法人らしき,,,,,,,,,,不明,,ユーフィ
Aliliy,Aliliy,英字ブランド,,,,,,,,,,不明,,
サンワダイレクト,サンワダイレクト,和名法人らしき,,,,,,,,,,不明,,
四日市ばんこ焼 【日本製】,四日市ばんこ焼,和名法人らしき,,,,,,,,,,不明,[Exa検索(エージェント取得)] **特定できず、全項目を空欄にした。** 『四日市ばんこ焼（萬古焼）』は三重県四日市市の**産地名**であってメーカー名ではない。同産地の窯元・商社が複数ヒットした（株式会社華月／有限会社弥生陶園／株式会社スズ木）が、代表商品『ふっくらごはん鍋 3合炊き 二重蓋』の製造元がどれかを確定できない。**候補が複数あるときに1社を選ぶのは推測になるので選ばない。** 産地としては小規模窯元が多く本丸の性質を持つため、**代表ASINから出品者・製造元を特定する追加調査を推奨** / Exa取得日:2026-09-04,日本製
NIKE(ナイキ),NIKE,和名法人らしき,,,,,,,,,,不明,,ナイキ
Fochai,Fochai,英字ブランド,,,,,,,,,,不明,,
Brook,Brook,英字ブランド,,,,,,,,,,不明,,
Boweer,Boweer,英字ブランド,,,,,,,,,,不明,,
シーゲイト(SEAGATE),シーゲイト,和名法人らしき,,,,,,,,,,不明,,SEAGATE
東芝(TOSHIBA),東芝,和名法人らしき,,,,,,,,,,不明,,TOSHIBA
Rhino,Rhino,英字ブランド,,,,,,,,,,不明,,
SACRA MUSIC,SACRA MUSIC,英字ブランド,,,,,,,,,,不明,,
ホリ,ホリ,和名法人らしき,,,,,,,,,,不明,,
コムテック(COMTEC),コムテック,和名法人らしき,株式会社コムテック（COMTEC）,,〒470-0151 愛知県愛知郡東郷町大字諸輪字池上1-1（サービスセンター）,https://www.e-comtec.co.jp/,0561-56-1814,,,Exa検索(エージェント取得),https://www.e-comtec.co.jp/0_etc/etc/search.html ; https://www.e-comtec.co.jp/0_etc/mainte/repair_individual.php,候補,[Exa検索(エージェント取得)] **本社所在地は特定できていない。** 公式サイトで確認できたのはサービスセンター（愛知県愛知郡東郷町）の住所のみで、これを本社として登録するのは推測になるため『（サービスセンター）』と明記した。電話も修理・問い合わせ窓口（無料通話 0800-200-5654 / 有料 0561-56-1814）で、法人窓口ではない / Exa取得日:2026-09-04,COMTEC
