maker,brands,n_products,n_criteria_ok,sum_monthly,categories,top_asin,price_min,price_max,scale_flag,maker_tel,maker_email,maker_url,note
"Jinjiacheng Photography Equipment Co.,Ltd.",JJC,9,9,480,appliances,B0GJSGQ4L9,1590,4840,中小候補,+86-755-8235-9938,sales@jjc.cc,https://www.jjc.cc,[海外] 中国・深圳の写真用品メーカー。国内窓口不明の可能性。service@jjc.cc も窓口
バッファロー,バッファロー,9,9,477,pc,B000GIWULI,1940,19260,大手/著名,,,,要連絡先確認(Phase B)
SanDisk,SanDisk,9,9,475,pc,B07SSZ8W38,1964,10709,中小候補,,,,要連絡先確認(Phase B)
PDA工房,PDA工房,9,9,469,office / pc / toys,B0F3JG1QT9,1514,3044,中小候補,0570-044-733,pda-shop@pdakobo.com,https://www.pdakobo.com/,[中小] 運営=ユニバーサルシステムズ株式会社（岡山県倉敷市）。ナビダイヤル。法人窓口 info@u-systems.co.jp
Dressy Daisy,Dressy Daisy,9,9,459,toys,B0CD76PCLW,3499,7621,中小候補,,,,要連絡先確認(Phase B)
Buffalo Games LLC.,Buffalo Games,9,9,459,toys,B0DRW8HQTY,4588,7034,大手/著名,,,,要連絡先確認(Phase B)
"iPearl Inc, USA",mCover,9,9,459,pc,B0G42LLGJM,5795,7678,中小候補,,,,要連絡先確認(Phase B)
LIDA,SENLAN,9,9,423,pc,B0CLY6RSCB,3900,3999,中小候補,,,,要連絡先確認(Phase B)
XunLiu,XunLiu,9,9,409,diy_tools,B07CHKKL26,1514,1857,中小候補,,,,要連絡先確認(Phase B)
レイメイ藤井,レイメイ藤井,9,9,330,office,B084RTVMSB,1566,2780,中小候補,092-262-2222,https://www.raymay.co.jp/guide/,https://www.raymay.co.jp/,[中小] 文具・紙製品(福岡)。電話は福岡本社(東京本社03-3632-1081)。問い合わせ案内ページ経由フォーム有
RK ROYAL KLUDGE,RK ROYAL KLUDGE,8,8,521,pc,B0FPQPXYNM,6999,9999,中小候補,,,,要連絡先確認(Phase B)
Fender(フェンダー),Fender(フェンダー),8,8,499,instruments,B00IJY9YGA,2365,24090,中小候補,0120-1946-60,Askfender.jp@fender.com,https://www.fender.com/ja-JP/,[海外] 直取引困難・正規窓口。日本拠点=Fender Music株式会社(東京都渋谷区)。0120-1946-60(平日10-17時)
ACROPIX,ACROPIX,8,8,494,car / industrial,B0CW61TVP4,1670,3110,中小候補,,,,要連絡先確認(Phase B)
YIQQWS,YIQQWS,8,8,464,diy_tools,B09TR5NY9W,1620,11691,中小候補,,,,要連絡先確認(Phase B)
N/C,Toileum,8,8,454,appliances / pet,B0CZL48TMY,1999,4399,中小候補,,,,要連絡先確認(Phase B)
因幡電工(INABA DENKO),因幡電工(INABA DENKO),9,8,428,diy_tools / home_kitchen,B00569BLMG,1558,27700,中小候補,,https://www.inaba-denko.com/ja/inquiry,https://www.inaba-denko.com/ja,[大手] 因幡電機産業株式会社のブランド。フォームのみ（統一電話なし・営業拠点別）。親会社本社 06-4391-1781
RafiCaro,RafiCaro,8,8,426,pet,B091SWB4CF,2280,3680,中小候補,,,,要連絡先確認(Phase B)
サンライズ,ゴン太 / サンライズ / スタイルズ,8,8,417,pet,B08KXP27ST,2071,8470,中小候補,0120-647-181,https://www.mkgr.jp/contact_cs,https://www.mkgr.jp/,[中小] 株式会社マルカン サンライズ事業部。0120-647-181はお客様相談室。フォームも可
ブシロード(BUSHIROAD),ブシロード(BUSHIROAD),8,8,409,hobby / toys,B0CR9QJSCX,1800,5580,中小候補,03-5348-0852,https://bushiroad.com/support,https://bushiroad.com/,[大手] 株式会社ブシロード（東京都中野区）。電話はトレカ専用窓口。他はフォーム
Bach,Vincent Bach,8,8,409,instruments,B0002F773G,3102,28024,中小候補,,,,要連絡先確認(Phase B)
リス(RISU),リス,8,8,408,diy_tools / home_kitchen,B001BCY8GI,12700,21440,中小候補,058-265-2230,,https://www.risu.co.jp/,[中小] リス株式会社（岐阜市）。プラスチック生活雑貨メーカー。FAX 058-265-1220
CASETiFY,CASETiFY,8,8,408,appliances,B0D66N5559,5665,9064,中小候補,,,,要連絡先確認(Phase B)
ベルメゾン,BELLE MAISON(ベルメゾン),8,8,408,home_kitchen,B099WGWCZQ,2690,3990,中小候補,0120-03-1000,https://www.senshukai.co.jp/main/top/contact/index.html,https://www.senshukai.co.jp/,[大手] 株式会社千趣会（大阪市北区）。0120-03-1000はベルメゾン個人向け。法人窓口 0120-65-1000
Gold heart,AVA.Home,8,8,408,home_kitchen,B0834XRF8H,6080,8580,中小候補,,,,要連絡先確認(Phase B)
Beanspet,Beanspet,8,8,408,pet,B0G5QM9HL7,2741,3401,中小候補,,,,要連絡先確認(Phase B)
PING,Ping,8,8,408,sports,B0GH6QCKP2,24700,24700,中小候補,,,,要連絡先確認(Phase B)
三陽金属,三陽金属(Sanyo Metal),8,8,408,diy_tools,B002653JV4,2947,4208,中小候補,0794-82-0188,https://www.sanyo-mt.co.jp/contact/,https://www.sanyo-mt.co.jp/,[中小] 三陽金属株式会社（兵庫県三木市）。フリーダイヤル 0120-420-188 も。フォームあり
SG,SG,8,8,408,appliances,B0F32HDV8X,7040,7040,中小候補,,,,要連絡先確認(Phase B)
TWOCHI,TWOCHI,8,8,408,car,B0BQJQ8CSY,4592,9977,中小候補,,,,要連絡先確認(Phase B)
Musiclily,Musiclily,8,8,408,instruments,B0B3QRZQDQ,3355,7322,中小候補,,,,要連絡先確認(Phase B)
Eavnbaek,Eavnbaek,8,8,408,instruments,B0C3J5BBTT,7462,28949,中小候補,,,,要連絡先確認(Phase B)
LINGYAN(納期7～12日),IMIDIA,8,8,399,pet,B0CCKKVT6P,2587,11500,中小候補,,,,[海外] 中国系Amazonブランド。公式サイト・会社概要を特定できず。国内窓口不明
横トナ,横トナ,8,8,398,pc / toys,B0G2B26BG5,2920,5042,中小候補,0120-770-288,,https://yokotona.jp/,[中小] 運営=株式会社キュリエ（東京都新宿区）。互換トナー・インク専門。営業10:00-17:00
Bandai Spirits,BANDAI / ICHIBANSHO FIGURE / バンプレスト,8,8,397,toys,B0CM9LXGWW,1930,17919,大手/著名,,,,要連絡先確認(Phase B)
Asmodee,Asmodee / GTS Distribution / Hans im Glück / Pandasaurus Games,8,8,396,hobby / toys,B0FHMM1DJJ,4239,13651,中小候補,,,,要連絡先確認(Phase B)
TECART,TECART,8,8,390,car,B0CGMWYDC2,2790,2850,中小候補,,,,要連絡先確認(Phase B)
カクダイ(KAKUDAI),カクダイ(KAKUDAI),8,8,378,diy_tools,B07QYYT9X1,1768,15460,中小候補,,https://kakudai.jp/contact,https://kakudai.jp/,[中小] 株式会社カクダイ（大阪市西区）。水栓金具メーカー。フォームのみ（代表電話をサイト上で確認できず）
Peyyargo,Peyyargo,8,8,378,appliances / pc,B0F9NQSWK2,1749,2099,大手/海外疑い,,,,要連絡先確認(Phase B)
Benboo,Benboo,8,8,376,industrial / pet / toys,B0H51K8CVX,1560,2660,中小候補,,,,要連絡先確認(Phase B)
