# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_needs_review,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
11,0.9323,富士フレーバー,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.fjf.co.jp/jp,2026-09-04,,,富士フレーバー株式会社,,〒205-8503 東京都羽村市緑ヶ丘三丁目5番地の8,https://www.fjf.co.jp/jp,042-554-1201,,,確定,有望(小ロット/OEM/B2Bの明示あり),"**日本たばこ産業株式会社（JT）の全額出資子会社**（資本金1億9,600万円・従業員166名）。フェロモントラップの製造。製品は工場・倉庫向けのB2B用途。電話は羽村市公式サイトの企業情報（自治体の一次資料）。親会社がJTのため、個人事業者との直取引は現実的でない可能性が高い",https://www.fjf.co.jp/jp/corp/index.html ; https://www.city.hamura.tokyo.jp/0000001627.html,1,DIY・工具・ガーデン,504,1782,富士フレーバー タバコシバンムシ 誘引 捕獲 セット ニューセリコ 2枚入り フェロモントラップ
12,0.9295,自然暮らし,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.nittofc.co.jp/,2026-09-04,,,日東エフシー株式会社,,愛知県名古屋市港区いろは町1-23,https://www.nittofc.co.jp/,052-661-4387,https://shizengurashi.jp/pages/contact,shizengurashi@nittofc.co.jp,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。『自然暮らし』は肥料メーカー日東エフシー株式会社（1952年設立）の家庭園芸ブランド。70年以上プロ生産者向けに肥料を供給、**自社の試験圃場を持ち国内で開発・製造**。★メール shizengurashi@nittofc.co.jp は**プレスリリースに『自然暮らし担当まで』と明記された窓口**＝ブランド担当に直接届く。出典はPR TIMESの自社配信リリース,https://prtimes.jp/main/html/rd/p/000000001.000141398.html ; https://shizengurashi.jp/pages/concept,1,DIY・工具・ガーデン,722,2533,【プロ品質の万能肥料】観葉植物 水耕栽培 粉末 肥料 栄養剤 液体肥料 自然暮らし 水に溶かして速く効く粉末液肥 100g 添加液肥20ml
13,0.9236,シーラケース,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,★**法人格が確認できず個人事業主の疑いがあるため、連絡先の実データを PUBLIC リポから除外した**（法務B §8-5 の commit 前ゲートに該当）。実データは workspace/output/agent_output/T-20260904-004/B1/HELD_BACK_個人事業主疑い.jsonl に保持。掲載可否のカズヨ判断が出るまでここは空欄のままにする。元の調査内容は中間報告 §5 を参照,https://www.mitaka-s.jp/navi-docs/2021091600069/ ; http://www.din.or.jp/~coelacan/,1,ペット用品,760,3300,シーラケース シーラ箱 （標準）昆虫標本用品標本箱
14,0.9222,フィッティ,D,99,exclude,[],営業+ご遠慮,D2_sales_refusal,ご意見・お問い合わせにつきましては、下記専用フォームよりご連絡ください。なお、広告、協賛の依頼、営業活動もしくは営利を目的とするもの等はご遠慮ください。返信は原則として致しておりません。,https://www.tamagawa-eizai.co.jp/support/form/,2026-09-04,,,玉川衛材株式会社,,〒102-0071 東京都千代田区富士見1-8-19 住友不動産千代田富士見ビル14階（本社）／〒292-0834 千葉県木更津市潮見3-11-6（木更津工場）,https://www.tamagawa-eizai.co.jp/,03-4334-8857,https://www.tamagawa-eizai.co.jp/support/form/,,確定,連絡可,★**拒否表示あり。** 問い合わせフォームに『**広告、協賛の依頼、営業活動もしくは営利を目的とするもの等はご遠慮ください。返信は原則として致しておりません**』と明記。当社の仕入れ打診は『営利を目的とするもの』に読める余地があるため **form_optout_notice=true とし、連絡候補から外した**（リッチェルと同型。ハルオの一般則待ち）。明治32年創業・木更津に自社工場。電話はお客様相談窓口（10:00-17:00）,https://www.tamagawa-eizai.co.jp/company/info/ ; https://www.tamagawa-eizai.co.jp/support/form/,1,産業・研究開発用品,617,2123,[フィッティ] Fitty うるおいマスク シルキータッチ やや大きめ (不織布/プリーツ) 15セット×2箱 加湿マスク 保湿 乾燥
15,0.9083,日本電興株式会社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.nihondenko.com/,2026-09-04,,,日本電興株式会社,,〒486-0912 愛知県春日井市高山町2丁目31番5,https://www.nihondenko.com/,0568-34-6688,https://www.nihondenko.com/contact.html,nd@nihondenko.com,確定,有望(小ロット/OEM/B2Bの明示あり),"★本丸候補。資本金4,930万円。家庭用換気扇の製造販売。中国に自社工場（江門市日電精機電器製造有限公司）、香港・韓国に関連会社。メール・電話を公開。個人客向けは 0120-996-187 と分けている＝**法人窓口が代表番号側**。営業お断りの記載なし",https://www.nihondenko.com/company.html ; https://www.nihondenko.com/contact.html,1,DIY・工具・ガーデン,4093,13585,日本電興(NIHON DENKO) 日本製 ナノバブル発生装置 キッチン水栓用 (泡沫/丸型) ND-NBKS 工具不要 簡単取付 ナノバブル 節水
16,0.9048,城東テクノ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.joto.com/,2026-09-04,,,"城東テクノ株式会社（JOTO TECHNO CO.,LTD.）",,〒541-0042 大阪府大阪市中央区今橋3丁目3番13号 ニッセイ淀屋橋イースト14階,https://www.joto.com/,06-6786-8601,,,確定,有望(小ロット/OEM/B2Bの明示あり),昭和36年創立・資本金1億円の樹脂建材メーカー。一級建築士事務所登録あり。製品は住宅建材（床下点検口・防鼠材等）で、**住宅メーカー/工務店向けのB2B流通**が本線。消費者窓口は 0120-106011。フォームURLは特定できず未取得,https://www.joto.com/company/outline/ ; https://www.joto.com/company/office_locations/,2,DIY・工具・ガーデン,26,1658,JOTO 丸マス蓋（枠なし） 樹脂製 耐圧２トン 300型 JT2-300SFW（雨水・穴あり） 城東テクノ
17,0.8297,ペットラインプロバラ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.petline.co.jp/,2026-09-04,,,ペットライン株式会社,,〒507-0062 岐阜県多治見市大針町657-1（本店・多治見工場）,https://www.petline.co.jp/,0572-29-2011,https://www.petline.co.jp/contact/,,確定,重複(同一法人の別行),『プロフェッショナルバランス（プロバラ）』はペットライン株式会社のブランド。**『懐石』の行と同一法人**（名寄せの取りこぼしで別行になっている）。詳細は『懐石』の行を参照,https://www.petline.co.jp/company/,1,ペット用品,1239,4015,ペットラインプロバラ プロフェッショナルバランス 超小粒 1歳から 成犬用 2.4kg
18,0.827,ウッディプッディ(Woodypuddy),A,2,contact,"[""form"", ""mail"", ""phone""]",,,法人サービスに関するご案内は、以下の項目からご覧いただけます。ご不明点はお気軽にお問合せ下さい。,https://www.woodypuddy.com/company/corporate/,2026-09-04,,,株式会社ウッディプッディ,,〒651-0083 兵庫県神戸市中央区浜辺通5丁目1-14 神戸商工貿易センタービル501,https://www.woodypuddy.com/,078-230-2122,https://www.woodypuddy.com/company/corporate/,shop@woodypuddy.com,確定,連絡可,"★★最有力級。木製玩具・知育玩具の企画販売。資本金1,200万円・2020年設立。**公式サイトに『法人のお客様』専用ページがあり『法人サービスに関するご案内』『ご不明点はお気軽にお問合せ下さい』と明示**。フリーダイヤル 0120-650-239 も公開。営業お断りの記載なし",https://www.woodypuddy.com/company/aboutus/ ; https://www.woodypuddy.com/company/corporate/,1,おもちゃ,2049,6592,ウッディプッディ(Woodypuddy) サラダセット
19,0.8019,エアブラシワークス,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://chuuta.com/,2026-09-04,,,"株式会社エアブラシワークス（Airbrushworks Co., Ltd.）",,〒420-0801 静岡県静岡市葵区東千代田1-7-4 2F,https://chuuta.com/,054-689-2976,,info@chuuta.com,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。エアブラシ製品の**企画・製造・販売**を行う小規模メーカー（静岡）。メール・電話を公開、電話は土日祝も10:00-21:00 対応と記載。★注意：検索1位に出た『**株式会社エアテックス**』（大阪・airbrush.co.jp）は**同じエアブラシ業界の別会社**なので採用しなかった,https://chuuta.com/info/ ; https://airbrush.works/top/contact/,2,ホビー,1883,3570,エアブラシワークス AW-103 エアブラシ ハンドピース 0.3mm 0.2mm 0.5mm ダブルアクション プラモデル 塗装 ガンプラ 初心者
20,0.7688,ビーエムオンライン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,**メーカー名ではない。抽出ノイズ行。** 代表商品『鈴木油脂 かびとりいっぱつ』の**製造元は鈴木油脂工業株式会社**（大阪・創業1948年・化学総合メーカー・製品問い合わせ 06-6326-1118 / suzukiyushi.co.jp）で、『ビーエムオンライン』はAmazon上の販売者名。**メーカーとして連絡先を登録すると誤りになるので空欄にした。** ★なお『株式会社鈴木油脂』（神奈川県伊勢原市・法人番号6021001021143）は**社名が似ているだけの別会社**。混同しないこと。**真のメーカーである鈴木油脂工業を別行として起こすべき**,https://www.suzukiyushi.co.jp/about/,1,車＆バイク,411,1778,鈴木油脂 かびとりいっぱつ
21,0.764,タカラ産業,A,2,contact,"[""form"", ""mail"", ""phone""]",,,事業内容 プラスチック成形品・金属加工品の製造から組立に至る一貫生産及び販売,https://www.takaranet.co.jp/outline.html,2026-09-04,,,タカラ産業株式会社,5122001004665,〒577-0013 大阪府東大阪市長田中2丁目2番30号 長田エミネンスビル2F,https://www.takaranet.co.jp/,06-7711-3080,,,確定,有望(小ロット/OEM/B2Bの明示あり),"★★本丸候補。1980年創業・資本金6,640万円・年商21億円・従業員93名。**『プラスチック成形品・金属加工品の製造から組立に至る一貫生産及び販売』＝OEM受託が本業**。主な取引先は建材/事務用品/手芸/自動車関連メーカー。富山と中国（蘇州）に自社工場、射出成形機52台。法人番号は公式PDFのインボイス登録番号 T5122001004665 から。東京営業所 03-3831-4250",https://www.takaranet.co.jp/outline.html ; https://www.takaranet.co.jp/img/companyprofile_jp.pdf,1,DIY・工具・ガーデン,2000,4851,タカラ産業 ウェーブルーバー（WAVE LOUVER） 室外機カバー SLK85 マグネット式 幅調整可能
22,0.7614,GRAPHT (グラフト),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://grapht.tokyo/,2026-09-04,,,MSY株式会社,,東京都渋谷区,https://grapht.tokyo/,,,,候補,連絡不可,『GRAPHT』は**MSY株式会社**（東京都渋谷区）のブランド（2011年誕生・商標もMSY社）。★所在地は『東京都渋谷区』までしか公表資料から確認できず、番地・電話・メールは取得できていない。**推測で埋めないため空欄のまま。** 家電量販店・PC専門店に流通させており、正規の卸ルートがある,https://msygroup.com/information/20260319_2/ ; https://grapht.tokyo/,2,楽器・音響機器,4075,8828,GRAPHT マイクアーム ロープロファイル 日本メーカー MICROPHONE ARM 【ブラック】黒 耐荷重 2kg 360度回転 角度調節可能 3/8 5/8 マイククリップ
23,0.7547,KAYOTOYS カヨトイズ,A_PLUS,1,contact,"[""form"", ""mail"", ""phone""]",OEM,A1_trade_window,事業内容 玩具・雑貨の企画、生産、販売。OEM生産、売り場の企画・総合ご提案など,https://kayo-trading.com/about/,2026-09-04,,,カヨ通商株式会社,6020001141455,〒111-0053 東京都台東区浅草橋1-5-2 111ビル5F,https://kayo-trading.com/,03-5829-4310,,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。日本法人設立2021年・資本金500万円・従業員15名（海外含む）。会社概要の事業内容に『玩具・雑貨の企画、生産、販売。**OEM生産**、売り場の企画・総合ご提案』と明記。深圳・香港にオフィスがあり中国生産の窓口を持つ。主な取引先トイザらスジャパン。営業 月〜金9:00-18:00。営業お断りの記載なし,https://kayo-trading.com/about/ ; https://compalyze.co.jp/company/6020001141455,2,おもちゃ,1212,3640,カヨトイズ パウ・パトロール バブルシューター 電動 シャボン玉 バブルガン 自動 タンク式 LEDライト 子ども おもちゃ
24,0.7215,レヂトン(Resiton),A,2,contact,"[""form"", ""mail"", ""phone""]",,,各種製品、特注品製作依頼のお問い合わせ等ございましたら、下記フォームまでお気軽にお問い合わせください。,https://www.resiton.co.jp/pages/5/,2026-09-04,,,株式会社レヂトン,,〒163-1408 東京都新宿区西新宿3-20-2 東京オペラシティタワー8F,https://www.resiton.co.jp/,03-5333-3320,https://www.resiton.co.jp/pages/5/,,確定,有望(小ロット/OEM/B2Bの明示あり),★★最有力級。1955年創業・資本金1000万円・従業員100名の砥石メーカー。**公式トップに『特注品切断砥石：弊社が砥石を選定し、貴社専用の特注品切断砥石を製造』＝OEM受託を公開**。お問い合わせページも『各種製品、**特注品製作依頼**のお問い合わせ等ございましたらお気軽に』。フリーダイヤル 0120-41-1014（平日9-17時）。大阪営業所あり,https://www.resiton.co.jp/pages/3/ ; https://www.resiton.co.jp/pages/5/,1,DIY・工具・ガーデン,2625,5899,レヂトン 切断砥石 金の卵 105×1.0×15【30枚セット】 (ステンレス/金属用)
25,0.7039,常陸化工,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://hitachi-kakou.com/,2026-09-04,,,"常陸化工株式会社（HITACHI CHEMICAL INDUSTRIES Co.,Ltd.）",,〒313-0007 茨城県常陸太田市新宿町664（本社・工場）,https://hitachi-kakou.com/,0294-72-2288,,,確定,有望(小ロット/OEM/B2Bの明示あり),"★★本丸候補。昭和35年設立・資本金4,000万円・社員68名。**1992年に世界で初めて固まる木製猫砂『スーパーウッディー』を開発した自社製造メーカー**。本社に製造工場を併設。1988年に自社ブランド『キャットサンドかたまりっ子』で小売市場に参入した実績あり＝**小売向けの取引経験がある**。フォームURLは特定できず未取得",https://hitachi-kakou.com/company/index.html ; https://hitachi-kakou.com/access/index.html,1,ペット用品,2311,5590,常陸化工 猫砂 トイレに流せる木製猫砂 大容量タイプ 12L 4袋
26,0.6899,からからつみき(KARAKARATSUMIKI),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,不明,連絡不可,★**法人格が確認できず個人事業主の疑いがあるため、連絡先の実データを PUBLIC リポから除外した**（法務B §8-5 の commit 前ゲートに該当）。実データは workspace/output/agent_output/T-20260904-004/B1/HELD_BACK_個人事業主疑い.jsonl に保持。掲載可否のカズヨ判断が出るまでここは空欄のままにする。元の調査内容は中間報告 §5 を参照,https://karakaratsumiki.stores.jp/about ; https://karakaratsumiki.com/tsumiki,1,おもちゃ,2967,6980,からからつみき 木製 積み木 ギフト 知育玩具 モンテッソーリ | 240ピース 日本製 宮崎県産杉100%使用 無塗装 木のおもちゃ 0歳 1歳 2歳 3歳 4歳
27,0.6786,ナトコ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.natoco.co.jp/,2026-09-04,,,ナトコ株式会社,,〒470-0213 愛知県みよし市打越町生賀山18番地,https://www.natoco.co.jp/,,https://www.natoco.co.jp/about/,,確定,連絡可,1948年『名古屋塗料株式会社』として創業。塗料・インキ・合成樹脂・ファインケミカルの製造販売。本社工場を併設。『スケルトン』は**日本で最初に開発された塗料剥離剤**。サイトに『各種製品についてのご相談・ご質問、**お見積もり依頼**など、お気軽にお問い合わせください』とあり取引の窓口はある。★電話番号は公式サイトに記載がなく空欄（推測しない）,https://www.natoco.co.jp/about/ ; https://www.natoco.co.jp/products/rs/,2,DIY・工具・ガーデン,1018,3888,ナトコ スケルトンM-201 金属ハケ用 1kg 業務用 剥離
28,0.6637,フィード,A,2,contact,"[""form"", ""mail"", ""phone""]",,,パートナー・リレーションデスク／Contact for Business Partners TEL：0120-004-504,https://www.feedcorp.co.jp/,2026-09-04,,,フィード株式会社（FEED Corporation）,,〒220-6119 神奈川県横浜市西区みなとみらい2-3-3 クイーンズタワーB 19階,https://www.feedcorp.co.jp/,0120-004-504,,,確定,連絡可,"★メーカーではなく**歯科・医療・介護用品の通販商社**（1980年設立・資本金4,300万円）。1987年に日本初の歯科医院向け総合カタログ通販を創刊。★**電話は『Contact for Business Partners（取引先向け）0120-004-504』を採用**。ご注文専用 0120-004-503／一般問い合わせ 0120-004-502／代表 045-662-4505 と窓口が分かれている。**代表商品『業務用紙コップ』はメーカー製造品ではなく同社の取扱商品**である点に注意",https://www.feedcorp.co.jp/aboutus/company/ ; https://medical-care.feed.jp/contents/page/company/,1,ホーム＆キッチン,2883,5890,業務用 紙コップ 無地 3000個 5オンス(150cc) ケース販売 ペーパーカップ 冷水専用 ホワイト 業務用 うがい用
29,0.6621,KBファーム,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.wraios.co.jp/kbfarm.htm,2026-09-04,,,株式会社オレオス,,〒368-0103 埼玉県秩父郡小鹿野町般若816-4,https://www.wraios.co.jp/kbfarm.htm,0494-75-5002,,,確定,有望(小ロット/OEM/B2Bの明示あり),★★本丸候補。『KBファーム』は**株式会社オレオス**（埼玉県秩父郡）が運営する通販専門ショップの屋号。昆虫ゼリー『プロゼリー』『すこやかゼリー』、菌床、マット等を**自社専用設備で製造**（純国産）。本社 0494-75-5002／KBファーム店舗 0494-75-5035／別窓口 0494-25-0088。★注意：『**直接の手渡しによる販売は行っておりません**』＝通販のみ。出典は秩父市の地域企業紹介サイト（公的性格）,https://find-chichibu.jp/news/member/oreosu/ ; https://www.wraios.co.jp/kbfarm.htm,1,ペット用品,2510,5600,KBファーム プロゼリー(16g 500個入り) 高たんぱく カブトムシ・クワガタ用
