メーカー名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,entity_type,email_source_url,email_optout_notice,personal_suspect,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,連絡可否,判定理由
Graphixly,英字ブランド,Graphixly LLC,,"2605 Camino Tassajara【非掲載:部屋番号】, Danville, CA 94526, U.S.A.",https://graphixly.com/,,https://graphixly.com/pages/contact-us,info@graphixly.com,Exa(web_search_exa),https://graphixly.com/pages/contact-us,確定,CLIP STUDIO PAINT の北米・南米・欧州向け正規代理店（米国法人）。日本法人・日本窓口なし。**日本向けの仕入れ先にはならない**（Amazon.co.jp 上の商品は並行輸入）。法人番号は米国法人のため概念として存在しない,法人,https://graphixly.com/pages/contact-us,未判定,false,1,PCソフト,7207,15178,可,メール＋フォーム。ただし米国法人で仕入れ対象外
LINKChef,英字ブランド,,,,https://linkchefkitchen.com/,,,,Exa(web_search_exa),https://linkchefkitchen.com/pages/about-us,参考,ブランドサイト（Shopify・米国向け）は存在するが、運営法人名・所在地・電話・メールのいずれも記載なし。中国広東省拠点との情報はアフィリエイト記事2本のみで一次情報なし＝採用せず。**連絡先は取得ゼロ**,不明,,,,1,ホーム＆キッチン,1108,3680,不可,ブランドサイトに運営者情報の記載がない
NSW,英字ブランド,株式会社バンダイナムコエンターテインメント,7010701019273,〒108-0014 東京都港区芝5丁目37番8号 バンダイナムコ未来研究所,https://www.bandainamcoent.co.jp/,03-6744-5500,,,Exa(web_search_exa),https://www.bandainamcoent.co.jp/corporate/overview/detail/ ; https://companydata.tsujigawa.com/company/7010701019273/,確定,**そもそも 'NSW' はブランド名ではなく Nintendo Switch を指す Amazon 上の表記**。v14 のメーカー抽出のノイズ行。代表商品『釣りスピリッツ Nintendo Switchバージョン』から実メーカー（バンダイナムコエンターテインメント）を特定できた。電話は公式会社概要記載の代表番号。法人番号は第三者DB由来（参考）,法人,,,,1,ゲーム,1331,5200,可,大手。仕入れ対象ではないが名寄せ是正の材料にはなる
OTTOCAST,英字ブランド,Azgate株式会社,,〒556-0011 大阪府大阪市浪速区難波中2-4-12 ティタカラナビル【非掲載:部屋番号】,https://ottocast.co.jp/,03-6899-5900,https://ottocast.jp/pages/contact-us,support@ottocast.co.jp,Exa(web_search_exa+web_fetch_exa),https://ottocast.co.jp/company/ ; https://ottocast.jp/pages/faq,確定,Ottocast 本体は中国。日本の正規販売代理店として Azgate株式会社（ottocast.co.jp）が会社概要を公開。**ただし公式ストア ottocast.jp が2026-08-25に『公式・正規販売店に関する重要なお知らせ』を出しており、どちらが正規かは要確認**。電話 03-6899-5900 と support@ottocast.jp は ottocast.jp 側、support@ottocast.co.jp は Azgate 側。混同しないこと。法人番号は未取得,法人,https://ottocast.co.jp/company/,未判定,false,1,車＆バイク,7645,13998,可,日本法人の会社概要にメール＋所在地。法人取引の相談窓口も明示
Letpedi,英字ブランド,,,,,,,,Exa(web_search_exa),,不明,**取得ゼロ。** 日本国内に同名法人の登記なし・公式サイトなし。検索結果は偽ECサイト3件（halozsak.hu / qianaitoy.com / media-tenor.at）とアフィリエイト記事2件のみ。Amazon 専売の中国系ブランドと判断,不明,,,,1,家電＆カメラ,2087,4499,不可,実体となる法人・窓口が見つからない
C&G,英字ブランド,株式会社 Helio Japan,,〒541-0053 大阪市中央区本町1丁目2-2 ラシーヌ本町4F,http://helio-japan.com/,06-6266-1801,,,Exa(web_search_exa+web_fetch_exa),http://helio-japan.com/company/ ; http://helio-japan.com/cg/,確定,C&G は米カリフォルニア州サンディエゴ発祥のテーピングブランド。**日本の輸入販売元が株式会社 Helio Japan（設立 平成26年、資本金400万円）**。1回目の検索では所在地・電話が出ず、公式会社案内を fetch して確定した。**規模的に初回小ロットの交渉相手として現実的**。法人番号は未取得,法人,,,,1,スポーツ＆アウトドア,226,1744,可,日本の輸入元の所在地＋電話を公式サイトで確認
Biwin,英字ブランド,"BIWIN Storage Technology Co., Ltd.（深圳佰維存儲科技股份有限公司）",,"Building #4, South Zone #2, Zhongguan Honghualing Industrial Zone, Nanshan District, Shenzhen, Guangdong, China",https://www.biwintech.com/,+86-755-2671-5701,,support@biwintech.com,Exa(web_search_exa),https://www.biwintech.com/about/ ; https://www.biwintechnology.com/about-us/,確定,上海証券取引所科創板 上場（688525）の中国メーカー。日本法人・日本窓口なし。**海外法人のため初回5万円の直取引相手にはならない**,法人,https://www.biwintech.com/about/,未判定,false,3,パソコン・周辺機器,7081,12980,可,メール＋電話。ただし中国法人で仕入れ対象外
BESROY,英字ブランド,,,,,,,,Exa(web_search_exa),,不明,**取得ゼロ。** 『中国の衡東瑞馳科技有限公司が商標登録』という情報はアフィリエイト記事（trust-pick.com）1本のみで一次情報がないため採用しない。公式サイトは存在しない。検索結果に出た LinkedIn の besrey.co.ltd は**別ブランド（ベビー用品）への誤マッチ**,不明,,,,4,ホーム＆キッチン,1396,3396,不可,一次情報が存在しない
INTEX,英字ブランド,,,,,,,,Exa(web_search_exa),https://www.pool-j.com/quote.html ; https://www.resincraft.co.jp/goods/detail/?id=131,不明,**誤マッチの罠が発火した行。** 検索1位に出た『株式会社インテックス（intex.co.jp・東京都中野区・03-3369-2601）』は**板金機械の会社で、プールの INTEX とは無関係**。採用しなかった。プールの INTEX は米 INTEX Recreation Corp のブランドで、日本の正規輸入代理店として株式会社プロジェクトケー プール事業部（pool-j.com・045-253-7941）と 株式会社レジンクラフト（resincraft.co.jp・大阪府東大阪市）の2社が名乗っている。**どちらを『メーカー』として登録すべきか1回の検索では確定できない**ため、全項目を空欄のままにした,不明,,,,2,DIY・工具・ガーデン,402,3050,要追加調査,候補は複数見つかったが正規窓口を確定できない
AooDen,英字ブランド,,,,,,,,Exa(web_search_exa),,不明,**誤マッチの罠が発火した行。** 検索2位の『株式会社AODEN（ao-den.co.jp・埼玉県久喜市・0480-53-8312）』は**電気工事・住宅設備の会社で、枕ブランド AooDen とは無関係**。採用しなかった。残る検索結果は偽ECサイト（urara-b.com / chcconsult.com）とレビューブログのみ。**取得ゼロ**,不明,,,,1,ホーム＆キッチン,345,3280,不可,実体となる法人・窓口が見つからない
