# 【打診文の絶対条件・法務判定 v1.0】メール本文・署名にURLを一切貼らないこと（AmazonストアURL・自社サイト satoy-select.com・SNS すべて）。貼った瞬間に特定電子メール法2条2号の『広告宣伝ウェブサイトへの誘導』に該当し、相手の『営業お断り』表示が法的効力を持つ。白が黒に転ぶ唯一の分岐点。 ／ 1社1通・追送しない・断られたら即終了・一斉送信ツール禁止・実績ゼロを正直に書く。 ／ optout_class が D・E の社には打診しない。C は A/A_PLUS/B を全件消化した後・フォームのみ・1回限り。
順位,スコア,メーカー名,optout_class,contact_priority,action,allowed_channels,optout_hit_terms,optout_rule_ids,form_optout_notice,optout_source_url,optout_checked_at,recheck_condition,optout_e_subclass,optout_decided_by,optout_needs_review,optout_review_reason,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,確度,取引可否シグナル,備考,出典URL,該当商品数,主なカテゴリ,想定仕入れ金額の中央値,Amazon価格の中央値,代表商品名
11,,ウォルト・ディズニー・ジャパン株式会社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,http://www.disney.co.jp/,2026-09-04,,,,,,ウォルト・ディズニー・ジャパン株式会社,5013201005431,〒105-0001 東京都港区虎ノ門1丁目23番1号 虎ノ門ヒルズ森タワー,http://www.disney.co.jp/,03-6752-2300,,,候補,対象外(大手/流通構造),法人番号と所在地は gBizINFO（経産省）で確認＝確定。ただし電話 03-6752-2300 は houjin.jp / PITACT / マピオンの第三者DBのみで、公式サイトでは裏が取れていないため行全体を候補とした。ライセンス管理会社であり仕入れ先ではない,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5013201005431 ; https://houjin.jp/c/5013201005431,56,DVD,4110,9790,スター・ウォーズ コンプリート・サーガ ブルーレイコレクション(9枚組) (初回生産限定) [Blu-ray]
12,,ワーナーホームビデオ,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.warnerbros.co.jp/,2026-09-04,,,,,,ワーナー ブラザース ジャパン合同会社（Warner Bros. Japan LLC）,5010401016820,〒105-5515 東京都港区虎ノ門2-6-1 虎ノ門ヒルズステーションタワー15階,https://www.warnerbros.co.jp/,03-5251-6950,,,候補,対象外(大手/流通構造),『ワーナーホームビデオ』はブランド名で、法人はワーナー ブラザース ジャパン合同会社（旧・ワーナーエンターテイメントジャパン株式会社）。商号・所在地は公式サイトで確認。電話と法人番号は第三者DBのみのため行全体を候補とした。映画配給・ライセンス事業者であり仕入れ先ではない,https://www.warnerbros.co.jp/company/outline/ ; https://companydata.tsujigawa.com/company/5010401016820/,23,DVD,3322,7422,Casablanca
13,,Disney(ディズニー),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,http://www.disney.co.jp/,2026-09-04,,,,,,ウォルト・ディズニー・ジャパン株式会社,5013201005431,〒105-0001 東京都港区虎ノ門1丁目23番1号 虎ノ門ヒルズ森タワー,http://www.disney.co.jp/,03-6752-2300,,,候補,重複(同一法人の別行),『ウォルト・ディズニー・ジャパン株式会社』行と同一法人。名寄せの取りこぼし（別行として2つ存在する）。電話は第三者DBのみで公式未確認,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5013201005431,20,DVD,3166,7848,The Rocky Horror Picture Show
14,,エレコム(ELECOM),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.elecom.co.jp/,2026-09-04,,,,,,エレコム株式会社,5120001094974,〒541-8765 大阪市中央区伏見町4-1-1 明治安田生命大阪御堂筋ビル9F,https://www.elecom.co.jp/,06-6229-1418,,,確定,対象外(大手/流通構造),法人番号は gBizINFO（経産省）で確認＝公的DB。東証プライム上場の大手。**初回5万円の小ロット直取引の相手ではない**。フォームURLは未特定,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5120001094974 ; https://www.elecom.co.jp/company/bases/,18,パソコン・周辺機器,2376,6570,エレコム USBケーブル Type C (USB C to Micro B) 1.0m USB3.1認証品 3A出力 最大10Gbps ブラック USB3-CMB10NBK
15,,講談社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.kodansha.co.jp/,2026-09-04,,,,,,株式会社講談社（KODANSHA Ltd.）,,〒112-8001 東京都文京区音羽2-12-21,https://www.kodansha.co.jp/,,,,確定,連絡不可,"電話は意図的に空欄。公式サイトで見つかったのは人事部採用担当（03-5395-3416）のみで、営業窓口の番号ではない。出版社は取次経由の流通が基本で直取引の相手ではない。売上1,710億円",https://www.kodansha.co.jp/company/about ; https://recruit.kodansha.co.jp/corporate/,18,本,3576,8039,ドラゴン桜 全21巻完結セット (モーニングKC)
16,,マタインク,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,,,,不明,連絡不可,**取得ゼロ。** 検索結果はすべて無関係な互換インク業者（合同会社インクマニア／互換インク販売株式会社／インク王国／合資会社スカイホース）で、『マタインク』というブランドの運営元に一致するものはなかった。公式サイト・法人いずれも特定できず。**同業他社の連絡先を掴む典型的な罠なので、あえて空欄のままにした**,,17,パソコン・周辺機器,674,1903,マタインク BCI-331 BCI-330 6本セット キャノン用 インク 純正 と併用可 331 330 プリンター TS8730 インク
17,,ロイヤルカナン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://royalcanin.jp/,2026-09-04,,,,,,"ロイヤルカナン ジャポン合同会社（ROYAL CANIN JAPON, Inc.）",,〒108-0075 東京都港区港南1-2-70 品川シーズンテラス7階,https://royalcanin.jp/,0120-125-850,,,確定,連絡可,仏マース傘下の日本法人（従業員215名）。電話はお客様相談室（総合栄養食向け／動物病院向けは 0120-618-505）。サイトにあるメール rcj-recruit@royalcanin.com は**採用専用のため採用しなかった**。ペットフードは正規流通の管理が厳しく、初回小ロットの直取引は現実的でない,https://royalcanin.jp/company/profile ; https://www.royalcanin.com/jp/contact-us,17,ペット用品,2347,5850,ロイヤルカナン FBN ペルシャ・チンチラ・ヒマラヤン 成猫用 2kg
18,,ポニーキャニオン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.ponycanyon.biz/,2026-09-04,,,,,,株式会社ポニーキャニオン,,〒106-8487 東京都港区六本木一丁目5番17号 泉ガーデンANNEX,https://www.ponycanyon.biz/,03-6230-9700,https://www.ponycanyon.biz/contact/,,確定,対象外(大手/流通構造),フォームは法人向け窓口が明示されている（一般客はカスタマーセンターへ誘導）。電話 03-6230-9700 はマイナビ掲載の代表番号で公式サイト未確認のため参考。売上360億円の大手,https://www.ponycanyon.biz/company/outline/ ; https://www.ponycanyon.biz/contact/,16,DVD,6258,11433,I LOVE スヌーピー THE PEANUTS MOVIE 3枚組3D・2Dブルーレイ&DVD(初回生産限定) [Blu-ray]
19,,ビクターエンタテインメント,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.jvcmusic.co.jp/,2026-09-04,,,,,,ビクターエンタテインメント株式会社,,〒150-0011 東京都渋谷区東1丁目2番20号 渋谷ファーストタワー,https://www.jvcmusic.co.jp/,,https://www.jvcmusic.co.jp/cs/,,確定,連絡可,"株式会社JVCケンウッド全額出資（資本金55億9,500万円）。**電話は空欄**：公式会社概要に代表番号の記載がなく、LinkedInの Phone 欄は『2026.05.20, 2026.05.27…』と日付が入った壊れたデータだったため採用しない（集約サイトのフィールドを信じない）。連絡はフォーム経由",https://www.jvcmusic.co.jp/company/profile.html ; https://www.jvcmusic.co.jp/cs/,14,DVD,4004,8900,ECHO [完全生産限定盤] [CD + Blu-ray + GOODS] - SCANDAL
20,,宝島社,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://tkj.jp/,2026-09-04,,,,,,株式会社宝島社,,東京都千代田区一番町25番地,https://tkj.jp/,03-3239-0181,,,確定,対象外(大手/流通構造),電話は総務部（平日10-18時）。公式FAQに掲載。フォームURLは特定できず未取得。大手出版社（従業員206名・資本金3億円）で、初回小ロットの直取引の相手ではない,https://tkj.jp/company/outline/index.html ; https://tkj.jp/faq/,12,本,1082,4450,mont-bell 50th ANNIVERSARY BOOK (TJMOOK)
21,,ワーナー・ブラザース・ホームエンターテイメント,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.warnerbros.co.jp/company/outline/,2026-09-04,,,,,,ワーナー ブラザース ジャパン合同会社,5010401016820,〒105-5515 東京都港区虎ノ門2-6-1 虎ノ門ヒルズステーションタワー15階,https://www.warnerbros.co.jp/,03-5251-6300,,,確定,対象外(大手/流通構造),★対象外(流通構造)。ブランド≠法人:「ワーナー・ブラザース ホームエンターテイメント」は法人ではなくワーナー ブラザース ジャパン合同会社の**事業部門名**(2014年5月にワーナー・ホーム・ビデオから改称)。同社はWARNER BROS. DISCOVERY 100%子会社・資本金2億7200万円・従業員163名。事業は映画輸入配給/ビデオDVDの企画制作販売/放映権ライセンス/キャラクター商品のライセンス管理で、**映像ソフトは取次・販売代理店に流通が固定されており、メーカー直取引が成立しない類型**(前任が中間報告①で指摘したコンテンツ商材)。カテゴリ係数で後ろに落とす対象。,https://www.warnerbros.co.jp/company/outline/ ; https://companydata.tsujigawa.com/company/5010401016820/,11,DVD,3378,7890,マッドマックス 怒りのデス・ロード<ブラック&クローム>エディション ブルーレイ スチールブック仕様(数量限定生産/2枚組) [Blu-ray]
22,,ワコーズ(Wako's),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.wako-chemical.co.jp/,2026-09-04,,,,,,株式会社和光ケミカル,,〒250-0875 神奈川県小田原市南鴨宮1丁目1番1号,https://www.wako-chemical.co.jp/,0465-48-2211,,,確定,連絡可,"『WAKO'S』は株式会社和光ケミカルのブランド。1972年創業・資本金5,000万円・全国33営業所の中堅メーカー。研究開発から販売・営業まで自社一貫。フォームURLは特定できず未取得。**規模的には打診の余地がある中堅**",https://www.wako-chemical.co.jp/corporate/profile/ ; https://www.wako-chemical.co.jp/corporate/locations/,10,車＆バイク,1788,5034,ワコーズ スロットルバルブクリーナー
23,,ワーナーミュージック・ジャパン,A,2,contact,"[""form"", ""mail"", ""phone""]",,,以下のような場合は、商品不良のお問合せ対象外となります。・中古品をご購入された場合・新品であっても、フリーマーケット・オークション・個人間のネット通販などでご購入された場合／カスタマーハラスメントとなる行為はご遠慮ください。,https://supportform.jp/wmj,2026-09-04,,,,,,株式会社ワーナーミュージック・ジャパン,7010401002133,〒106-0032 東京都港区六本木1丁目4番5号,https://wmg.jp/,,https://supportform.jp/wmj,,候補,対象外(大手/流通構造),米ワーナーミュージック グループの日本法人。**電話は空欄**（公式サイトに記載なし）。法人番号・所在地は第三者DB由来のため行全体を候補とした。★問い合わせフォームには『**中古品をご購入された場合』『フリーマーケット・オークション・個人間のネット通販などでご購入された場合』は商品不良の対応対象外**と明記されており、消費者向け窓口である,https://wmg.jp/corporate/company/ ; https://pitact.com/companies/detail/26121_7010401002133,10,ミュージック,2623,9415,【Amazon.co.jp限定】瞬間的シックスセンス - あいみょん (メガジャケ付) [Analog]
24,,Razer(レイザー),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.razer.com/jp-jp/contact-us,2026-09-04,,,,,,Razer Japan株式会社,6011001162830,〒160-0022 東京都新宿区新宿4丁目1-6 JR新宿ミライナタワー18階,https://www.razer.com/jp-jp/,,https://www.razer.com/jp-jp/contact-us,,確定,対象外(大手/流通構造),シンガポール発のゲーミングデバイス大手の日本法人（2024年6月設立）。★**電話番号は公開されていない**（第三者DBにも『電話番号は公開されていません。お問い合わせフォームよりお問い合わせください』と記載）。連絡はフォームのみ。グローバルブランドのため初回小ロットの直取引の相手ではない,https://www.razer.com/jp-jp/contact-us ; https://companydata.tsujigawa.com/company/6011001162830/,9,パソコン・周辺機器,6199,14480,Razer BlackShark V2 Special Edition ゲーミングヘッドセット Black/Green USBサウンドカード付 USB 3.5mmアナログ THX 
25,,ラブホーム美家,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,,2026-09-04,,,,,,,,,,,,,不明,連絡不可,**取得ゼロ。** 検索結果は価格.comの商品一覧と個人ブログのみで、ブランド運営元の一次情報がない。『lovehome株式会社』（兵庫県神戸市・法人番号1140001139871）がヒットしたが、**2025年9月設立の別法人でブランドとの関係が確認できないため採用しなかった**（名前が似ているだけで結びつけるのは推測）。Amazon専売の中国系ブランドの可能性が高い,,8,ホーム＆キッチン,930,2890,【2026新登場・省エネ＆目に優しい】 デスクライト 明るい ledライト 照明 無段階調光 5段階調色 タイマー・記憶機能 高輝度 スタンドライト USB給電式 電気スタンド 卓
26,,Makita(マキタ),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.makita.co.jp/,2026-09-04,,,,,,株式会社マキタ（Makita Corporation）,,〒446-8502 愛知県安城市住吉町3丁目11番8号,https://www.makita.co.jp/,0566-98-1711,https://www.makita.co.jp/inquiry/,,確定,対象外(大手/流通構造),"電話は本社代表。消費者窓口は 0120-17-1197。連結売上7,776億円・連結従業員17,586名の東証上場大手で、初回小ロットの直取引の相手ではない",https://www.makita.co.jp/company/about/data/ ; https://www.makita.co.jp/inquiry/,6,DIY・工具・ガーデン,2244,5910,マキタ アルミケース（TD021DS用） 823295-6
27,,コナミデジタルエンタテインメント(Konami Digital Entertainment),A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.konami.com/games/,2026-09-04,,,,,,株式会社コナミデジタルエンタテインメント,,〒104-0061 東京都中央区銀座1丁目11番1号,https://www.konami.com/games/,03-6867-0573,https://www.konami.com/games/inquiry/jp/,,確定,対象外(大手/流通構造),電話は本店代表。フォームはお客様相談室（消費者向け）。大手で直取引の相手ではない,https://www.konami.com/games/corporate/ja/ ; https://www.konami.com/games/contact/ja/,6,ゲーム,3353,10788,eBASEBALLプロ野球スピリッツ2021 グランドスラム
28,,ファイナル(final),A,2,contact,"[""form"", ""mail"", ""phone""]",,,法人のお客様は、お手数ですが下記よりお問い合わせをお願いいたします。,https://final-inc.com/pages/support-top,2026-09-04,,,,,,株式会社final,,〒212-0012 神奈川県川崎市幸区中幸町4丁目44-1,https://final-inc.com/,044-789-5819,https://final-inc.com/pages/support-top,support@final-inc.com,確定,有望(小ロット/OEM/B2Bの明示あり),設立2007年・資本金1億円・オーディオ機器の開発/製造/販売。2014年末にMBOで独立した独立系メーカー。★公式サポートに「法人のお客様」専用窓口を分けて公開＝B2Bの導線あり。商号・住所・電話・メールは特定商取引法に基づく表記から取得(法律で掲示義務があるため一次情報として強い)。,https://final-inc.com/pages/about ; https://final-inc.com/pages/legal-notice ; https://final-inc.com/pages/support-top,5,家電＆カメラ,4946,8980,【final公式ストア限定】ag (エージー) COTSUBU for ASMR MK2 自分がダミーヘッドになったような臨場感 ASMR推薦 小型 軽量 IPX4 MEMSマイク
29,,マイクロソフト,A,2,contact,"[""form"", ""mail"", ""phone""]",,,,https://www.microsoft.com/ja-jp/,2026-09-04,,,,,,日本マイクロソフト株式会社,2010401092245,〒108-0075 東京都港区港南2-16-3 品川グランドセントラルタワー,https://www.microsoft.com/ja-jp/,03-4332-5300,https://aka.ms/mph,,確定,対象外(大手/流通構造),電話は公式サイトの本社/支店情報に記載の大代表（受付9:00-17:30）。法人番号は第三者DB由来のため参考。米マイクロソフトの日本法人で、初回小ロットの直取引の相手ではない,https://www.microsoft.com/ja-jp/mscorp/branch ; https://news.microsoft.com/ja-jp/cp/outline/,4,ゲーム,4612,9492,NINJA GAIDEN 4 Deluxe Edition -PS5 【特典】リュウ用スキン「トラディショナルダークブルー」 「レジェンダリーブラックファルコン」、リュウ用武器スキ
