メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,実セラー数_現行,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索
Hobbywing,5,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ホビーマンズ / 通販ショップの駿河屋,4,4,5,2036,B0816Q6JY9,【国内正規品】HOBBYWING QuicRUN-WP-1060-Brushed BEC内蔵 1/10用,https://www.amazon.co.jp/dp/B0816Q6JY9,https://www.google.com/search?q=Hobbywing%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ファイナル(final),5,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,KURO STORE （適格請求書発行事業者） / 東方Merchant,2,2,3,4946,B0DPK8XT5F,【final公式ストア限定】ag (エージー) COTSUBU for ASMR MK2 自分がダミーヘッドになったよう,https://www.amazon.co.jp/dp/B0DPK8XT5F,https://www.google.com/search?q=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%28final%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
BabySmile,4,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／日本法人格,なし,"Hariti(ハーリティー) / 【公式】トイザらス・ベビーザらス Toys""R""Us Japan",2,3,3,4140,B0CQJMR3PY,ベビースマイル ベビーアラーム E-202 ベビーテックアワード2024大賞受賞商品 ベビーセンサー 赤ちゃん 見守り ,https://www.amazon.co.jp/dp/B0CQJMR3PY,https://www.google.com/search?q=BabySmile%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ピュアクリスタル,4,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,syuka東京本店 / 183ストア / 生活雑貨shop,4,5,4,482,B0BW7YQJZ1,ジェックス ピュアクリスタル ミューティー 猫用 950mL ムーングレー フィルター式給水器 USB電源 静音 フィル,https://www.amazon.co.jp/dp/B0BW7YQJZ1,https://www.google.com/search?q=%E3%83%94%E3%83%A5%E3%82%A2%E3%82%AF%E3%83%AA%E3%82%B9%E3%82%BF%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
詰め替えそのまま,4,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,ゆるり生活商店,1,2,2,884,B0BNN4M6C2,詰め替えそのまま MSPS-4W ミニ＆スタンダード スターターセット シャンプーボトル ホワイト,https://www.amazon.co.jp/dp/B0BNN4M6C2,https://www.google.com/search?q=%E8%A9%B0%E3%82%81%E6%9B%BF%E3%81%88%E3%81%9D%E3%81%AE%E3%81%BE%E3%81%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
イースター株式会社,3,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,（最速配達）SKworks / ペットショップ　ファイブワン / 日用品生活ショップ,5,6,6,156,B0FBQJ2WKB,バニーセレクションプロ メンテナンス グルテンフリー ボディウェイトケア 900g,https://www.amazon.co.jp/dp/B0FBQJ2WKB,https://www.google.com/search?q=%E3%82%A4%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
オスモカラー,3,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,ペンキのササキ / エムケーケー※ご購入前に期限（コンディション欄に記載）をご確認ください / 木の香ショップ,4,6,6,2699,B08XX31CCC,オスモカラー オスモ&エーデル カウンタートップオイル 0.5L #3046 5分ツヤ,https://www.amazon.co.jp/dp/B08XX31CCC,https://www.google.com/search?q=%E3%82%AA%E3%82%B9%E3%83%A2%E3%82%AB%E3%83%A9%E3%83%BC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コムテック(COMTEC),3,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,カー用品の専門店 e-なび屋 / car電倶楽部 / リコメン堂,3,4,4,7873,B097TLQGCL,コムテック 車用 ドライブレコーダー 1カメラタイプ HDR204G 200万画素 Full HD 広角168° mic,https://www.amazon.co.jp/dp/B097TLQGCL,https://www.google.com/search?q=%E3%82%B3%E3%83%A0%E3%83%86%E3%83%83%E3%82%AF%28COMTEC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
タカギ(Takagi),3,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,プライムウェブストア / RCSストア / KSカスタムショップ,4,4,4,1113,B071HRHPRD,浄水器用カートリッジ 高除去性能タイプ JC0036UG,https://www.amazon.co.jp/dp/B071HRHPRD,https://www.google.com/search?q=%E3%82%BF%E3%82%AB%E3%82%AE%28Takagi%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ピープル,3,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ニキーズホーム / スモクロ（インボイス登録済み店） / AＪＹショップ,5,5,5,1930,B0843ZP3SS,ピタゴラスBASIC 知育いっぱい! どうぶつえん [1歳半] から 25個 遊べる つくれる ひらめきが育つ,https://www.amazon.co.jp/dp/B0843ZP3SS,https://www.google.com/search?q=%E3%83%94%E3%83%BC%E3%83%97%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ルイファン ジャパン(Ruifan Japan),3,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,eおもちゃやさん / ポジティブエフェクト / ウィルマージ,5,5,5,2340,B08KFX86CC,キングブレード one1 （ワン） 2本セット,https://www.amazon.co.jp/dp/B08KFX86CC,https://www.google.com/search?q=%E3%83%AB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%B3%20%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%28Ruifan%20Japan%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
四日市ばんこ焼 【日本製】,3,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ローザ / ★本物の四日市ばんこ焼を地元産地から販売!!★ごはん鍋のプロショップ／せんが陶器【公式】T8810… / HPMストア,5,5,5,2665,B008CL74QC,【 昔ながらの ごはん鍋 】 炊飯土鍋 二重蓋 四日市ばんこ焼(日本製) 【 本格派 ４合炊 】,https://www.amazon.co.jp/dp/B008CL74QC,https://www.google.com/search?q=%E5%9B%9B%E6%97%A5%E5%B8%82%E3%81%B0%E3%82%93%E3%81%93%E7%84%BC%20%E3%80%90%E6%97%A5%E6%9C%AC%E8%A3%BD%E3%80%91%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
BUNDOK(バンドック),2,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,リビングリンクス / ★ベストザ・プライス市場★ / アイスリー,3,5,5,7962,B0BCD74LZ1,BUNDOK(バンドック)ソロ ドーム 1 BDK-08O オリーブ 【1人用】テント 収納コンパクト フルクローズ,https://www.amazon.co.jp/dp/B0BCD74LZ1,https://www.google.com/search?q=BUNDOK%28%E3%83%90%E3%83%B3%E3%83%89%E3%83%83%E3%82%AF%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Butterfly,2,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語,なし,東方スポーツ / 株式会社サンワード / チトセスポーツ(原則1-3営業日出荷),5,6,6,4458,B07PNBBSV9,バタフライ(Butterfly) 卓球 ラバー ディグニクス 05 ハイテンション 裏ソフト 06040 レッド 特厚,https://www.amazon.co.jp/dp/B07PNBBSV9,https://www.google.com/search?q=Butterfly%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Dr.'s care,2,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語,なし,ネットプロフェッショナル / ドリームカンパニー 北関東支店,2,3,3,3609,B0DYZK2MN7,ドクターズケア 猫用キドニーケア チキンテイスト1.5kg,https://www.amazon.co.jp/dp/B0DYZK2MN7,https://www.google.com/search?q=Dr.%27s%20care%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Earth Plus,2,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語,なし,暮らし快適LABO【インボイス発行事業者】 / 得市ストア / ランタンSTORE,4,6,6,2654,B0DP8BP7MX,【純正品 2個セット】 キヤノン インクカートリッジ BC-345/BC-346 (ブラック/3色カラー) 2個セット,https://www.amazon.co.jp/dp/B0DP8BP7MX,https://www.google.com/search?q=Earth%20Plus%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FAR EAST GADGET,2,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ファーイーストガジェット / PFUダイレクト,2,2,2,1196,B0D1C44P6W,FAR EAST GADGET ファーイーストガジェット タイプスティックス (Black),https://www.amazon.co.jp/dp/B0D1C44P6W,https://www.google.com/search?q=FAR%20EAST%20GADGET%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FiiO,2,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 株式会社コジマ / イケベ楽器店,4,4,4,3047,B09NXJG3VX,FIIO KA11 Type-C Silver Black 【日本正規店より発送・シリアルナンバー付】USB DAC ア,https://www.amazon.co.jp/dp/B09NXJG3VX,https://www.google.com/search?q=FiiO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
GRAPHT (グラフト),2,楽器・音響機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,ハッピー＆エンジョイ【インボイス登録事業者：適格請求書発行事業者】 / 星の森商店【インボイス対応/適格請求書発行事業者】,2,2,2,4075,B0DXFBN3BJ,GRAPHT マイクアーム ロープロファイル MICROPHONE ARM 【ホワイト】耐荷重 2kg 360度回転 角,https://www.amazon.co.jp/dp/B0DXFBN3BJ,https://www.google.com/search?q=GRAPHT%20%28%E3%82%B0%E3%83%A9%E3%83%95%E3%83%88%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JASON MARKK(ジェイソンマーク),2,ファッション,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,山男FOOTGEAR / ミスチーフスニーカースタイル / PRECIOUS PLACE【毎日15時までのご注文で即日発送】,3,3,4,940,B00D12KGYE,ジェイソンマーク 8OZ. (スニーカー シューズ 靴 クリーナー シューケア 洗剤) 水洗い不要 液体タイプ 236m,https://www.amazon.co.jp/dp/B00D12KGYE,https://www.google.com/search?q=JASON%20MARKK%28%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%BD%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JELLY JELLY GAMES,2,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ゆかいなさかな / ボードゲームカフェ7Gold,2,3,3,1546,B081SKGBFP,JELLYJELLYGAMES クリプティッド 伝説の生物はどこにいる？ヒントを組み合わせて先に見つけた人が勝つ論理推理,https://www.amazon.co.jp/dp/B081SKGBFP,https://www.google.com/search?q=JELLY%20JELLY%20GAMES%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KAYOTOYS カヨトイズ,2,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,【カヨトイズ公式】 / 【くらしのあれこれ屋】,2,3,3,1211,B0DNF81JHK,カヨトイズ パウ・パトロール キッズデジタルカメラ マーシャル（レッド）3歳以上 写真・動画撮影 ゲーム 音楽再生,https://www.amazon.co.jp/dp/B0DNF81JHK,https://www.google.com/search?q=KAYOTOYS%20%E3%82%AB%E3%83%A8%E3%83%88%E3%82%A4%E3%82%BA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
"KEIYO ENGINEERING CO.,LTD.",2,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,北陸物販【インボイス登録済】 / KEIYO公式ショップ / ECカレント,5,6,6,7544,B0DHV2KW3X,KEIYO 車載対応Wi-Fiルーター初回120GB付きバッテリーレス USB電源使用 車用Wi-Fi 買い切り 契約不,https://www.amazon.co.jp/dp/B0DHV2KW3X,https://www.google.com/search?q=KEIYO%20ENGINEERING%20CO.%2CLTD.%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
MEDICOM TOY,2,ホビー,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,FJOオンライン / インボイス登録事業者 NS商店 すり替え抜き取り対策実施店舗 / 良品マーケティング,6,6,6,6994,B088MN3K38,メディコム・トイ MAFEX マフェックス No.131 GAMBIT ガンビット COMIC Ver. 全高約160m,https://www.amazon.co.jp/dp/B088MN3K38,https://www.google.com/search?q=MEDICOM%20TOY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
NAIGAI,2,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語,なし,キングダム株式会社 / 野球用品 スワロースポーツ～スワロー限定で検索～,2,2,2,2529,B07QQXBC5G,内外ゴム(NAIGAI) ナイガイベースボール Mプラクティス 1ダース(12球) 白,https://www.amazon.co.jp/dp/B07QQXBC5G,https://www.google.com/search?q=NAIGAI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Nikitea,2,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49,なし,よろず商い 【千】 ［インボイス対応］ 年中無休で迅速発送！ 確実・誠実！ / はっぴースマイル,2,4,4,1311,B0188A4F9A,★日本製★ベビーキャリー 昔ながらのおんぶひも（おんぶ・だっこ兼用子守帯） ブラックウォッチ 50807 グリーン×ネイ,https://www.amazon.co.jp/dp/B0188A4F9A,https://www.google.com/search?q=Nikitea%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
OOFOS(ウーフォス),2,ファッション,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,【土日祝も休まず出荷（一部商品を除く）】リヴェラール【日本流通自主管理協会(AACD)加盟店】 / 庄司屋 / 【日本企業公式店舗・全商品保証対象】アバターガーデン,4,4,4,5203,B0DYNK9VPH,[ウーフォス] ウーメガ リカバリーサンダル OOFOS Oomega レディース 厚底サンダル (ノマド(NOMAD),https://www.amazon.co.jp/dp/B0DYNK9VPH,https://www.google.com/search?q=OOFOS%28%E3%82%A6%E3%83%BC%E3%83%95%E3%82%A9%E3%82%B9%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SilentPower,2,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49,なし,オーディオ 吉田苑 / 三木楽器株式会社 / 株式会社エミライ,4,5,5,6503,B0DXP2HVZ9,Silentpower iPower2 【日本正規店より発送】ノイズ抑制 電源 (iPower2 9V),https://www.amazon.co.jp/dp/B0DXP2HVZ9,https://www.google.com/search?q=SilentPower%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Yonker,2,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語,セラー名に中国企業表記/ピンイン／メーカー名が中国企業表記,【マケプレお急ぎ便対応店舗】ショップデクリニック / マツヨシ,2,3,3,1070,B0B643HNNP,パルスオキシメーター 付属品セット ホワイト 国内検品 松吉医科器械 血中酸素濃度 心拍計 在宅看護 体調管理 介護 病,https://www.amazon.co.jp/dp/B0B643HNNP,https://www.google.com/search?q=Yonker%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
