メーカー,レーン,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
Disney(ディズニー),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Walt Disney Video,,20,DVD,6,3,2,S2_ピンイン風セラー+S3_略号JPセラー,3166,7848,Independence Day (4K Ultra-HD) (+ Blu-Ray) [Import],B074HWSLNT,https://www.google.com/search?q=Disney%28%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
20TH CENTURY STUDIOS,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),20th Century Fox,,19,DVD,6,2,2,S2_ピンイン風セラー+S3_略号JPセラー,4261,11911,Kingdom of Heaven [Blu-ray],B000ICLRIE,https://www.google.com/search?q=20TH%20CENTURY%20STUDIOS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
講談社,除外:メディア,再販制度対象(法人化でも解けない),講談社,あり,18,本,7,3,0,,3576,8039,ちいかわ なんか小さくてかわいいやつ(6)なんか光ってて旅したくなるご朱印帳付き特装版 (講談社キャラクターズA),4065339839,https://www.google.com/search?q=%E8%AC%9B%E8%AB%87%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ソニー・インタラクティブエンタテインメント,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ソニー・インタラクティブエンタテインメント,,18,ゲーム,8,4,2,S2_ピンイン風セラー,5362,14038,【純正品】DualSense ワイヤレスコントローラー クロマ パール（CFI-ZCT1J12）,B0DJBYD71H,https://www.google.com/search?q=%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Bandai Namco,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),バンダイナムコエンターテインメント,,16,ゲーム,7,3,2,S2_ピンイン風セラー,2024,8882,ジョジョの奇妙な冒険 アイズオブヘブン - PS4,B015C2TYES,https://www.google.com/search?q=Bandai%20Namco%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ポニーキャニオン,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ポニーキャニオン,,16,DVD,5,2,0,,6258,11433,海猿 プレミアムDVD-BOX,B00069LUJK,https://www.google.com/search?q=%E3%83%9D%E3%83%8B%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%8B%E3%82%AA%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ビクターエンタテインメント,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ビクターエンタテインメント,,14,DVD,6,2,2,S2_ピンイン風セラー,4004,8900,おいしい葡萄の旅ライブ -at DOME&日本武道館- (Blu-ray完全生産限定盤),B017KJGC7I,https://www.google.com/search?q=%E3%83%93%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
スクウェア・エニックス(SQUARE ENIX),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),スクウェア・エニックス,,14,ゲーム,5,2,2,S2_ピンイン風セラー,2829,7063,ドラゴンクエスト メタリックモンスターズギャラリー デスピサロ,B00HZWWVEY,https://www.google.com/search?q=%E3%82%B9%E3%82%AF%E3%82%A6%E3%82%A7%E3%82%A2%E3%83%BB%E3%82%A8%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9%28SQUARE%20ENIX%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ジェイストーム,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ジェイ・ストーム,あり,14,DVD,6,2,0,,2326,8110,ARASHI BLAST in Hawaii(初回限定盤),B00UF5RH7O,https://www.google.com/search?q=%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%B9%E3%83%88%E3%83%BC%E3%83%A0%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
宝島社,除外:メディア,再販制度対象(法人化でも解けない),宝島社,,12,本,6,5,0,,1082,4450,リンネル 2025年10月号,B0FG2ZTJ2P,https://www.google.com/search?q=%E5%AE%9D%E5%B3%B6%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Paramount,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Paramount,,12,DVD,6,2,0,,3834,7616,Indiana Jones Quadrilogia (5 Blu-Ray) [Italian Edition],B00JJ19M9Q,https://www.google.com/search?q=Paramount%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ワーナー・ブラザース・ホームエンターテイメント,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Happinet,,11,DVD,6,2,0,,3378,7890,マッドマックス 怒りのデス・ロード<ブラック&クローム>エディション ブルーレイ スチールブック仕様(数量限定生産/2枚組) [Blu-ray],B076H6J8LS,https://www.google.com/search?q=%E3%83%AF%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%BB%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%86%E3%82%A4%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ワーナーミュージック・ジャパン,除外:メディア,再販制度対象(法人化でも解けない),ワーナーミュージック・ジャパン,,10,ミュージック,7,1,2,S2_ピンイン風セラー,2623,9415,"東日本大震災復興支援チャリティライブ KYOSUKE HIMURO GIG at TOKYO DOME ""We Are Down But Never Give ",B005XGOIBS,https://www.google.com/search?q=%E3%83%AF%E3%83%BC%E3%83%8A%E3%83%BC%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Bloomsbury,除外:メディア,再販制度対象(法人化でも解けない),Bloomsbury Childrens Books,,9,洋書,6,1,2,S3_略号JPセラー,5208,12415,Harry Potter and the Order of the Phoenix,140888223X,https://www.google.com/search?q=Bloomsbury%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SME,除外:メディア,再販制度対象(法人化でも解けない),SME,,8,ミュージック,6,2,2,S2_ピンイン風セラー,1920,7012,6th YEAR BIRTHDAY LIVE (完全生産限定盤) [Blu-ray],B07S8MHFZH,https://www.google.com/search?q=SME%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Sony,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),ソニー(SONY),,7,ゲーム,5,1,2,S2_ピンイン風セラー,4337,14356,ソニー 純正 テレビリモコン RMF-TX410J,B0865VN34L,https://www.google.com/search?q=Sony%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
バンダイビジュアル,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),バンダイビジュアル,,7,DVD,6,0,0,,8415,14444,【Amazon.co.jp限定】 ガールズ&パンツァー 劇場版 (特装限定版) (戦車トークCD付) [Blu-ray],B01BMC7MIC,https://www.google.com/search?q=%E3%83%90%E3%83%B3%E3%83%80%E3%82%A4%E3%83%93%E3%82%B8%E3%83%A5%E3%82%A2%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
NBCユニバーサル・エンターテイメントジャパン,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),NBCユニバーサル・エンターテイメントジャパン,,7,DVD,5,2,0,,3945,7856,バック・トゥ・ザ・フューチャー トリロジー 30thアニバーサリー・デラックス・エディション スチールブック・ブルーレイ [Blu-ray],B0142J2U6Q,https://www.google.com/search?q=NBC%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%E3%83%BB%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%86%E3%82%A4%E3%83%A1%E3%83%B3%E3%83%88%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Simon & Schuster,除外:メディア,再販制度対象(法人化でも解けない),Simon & Schuster Audio,,7,洋書,7,1,0,,2111,8146,Fairy Tale,1797145282,https://www.google.com/search?q=Simon%20%26%20Schuster%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KADOKAWA,除外:メディア,再販制度対象(法人化でも解けない),KADOKAWA,,6,本,6,2,0,,1614,4918,新訳 ハイパワー・マーケティング あなたのビジネスを加速させる「力」の見つけ方,4041056756,https://www.google.com/search?q=KADOKAWA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Warner,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Warner Archives,,6,DVD,5,1,0,,4031,8390,Batman v Superman: Dawn of Justice [Blu-ray],B08WV2XRNN,https://www.google.com/search?q=Warner%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Universal Pictures,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),,,6,DVD,5,0,2,S3_略号JPセラー,2514,6584,Battleship + Uv,B01MU5UIOJ,https://www.google.com/search?q=Universal%20Pictures%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コナミデジタルエンタテインメント(Konami Digital Entertainment),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),コナミデジタルエンタテインメント,,6,ゲーム,5,2,0,,3353,10788,eBASEBALLプロ野球スピリッツ2021 グランドスラム,B08ZZDL8J4,https://www.google.com/search?q=%E3%82%B3%E3%83%8A%E3%83%9F%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%28Konami%20Digital%20Entertainment%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Listening Library,除外:メディア,再販制度対象(法人化でも解けない),Listening Library,,5,洋書,5,1,2,S2_ピンイン風セラー+S3_略号JPセラー,3313,6362,Harry Potter and the Prisoner of Azkaban,0807282324,https://www.google.com/search?q=Listening%20Library%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KT,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),コーエーテクモゲームス,,5,ゲーム,6,2,0,,5323,11890,Champion Jockey Special - Switch,B072NCGDCF,https://www.google.com/search?q=KT%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SBクリエイティブ,除外:メディア,再販制度対象(法人化でも解けない),SBクリエイティブ,,5,本,6,2,0,,2953,7900,令和版 Oh!X,4815622884,https://www.google.com/search?q=SB%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Capitol,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Capitol Records,,5,DVD,4,1,0,,4443,10980,Travis Japan Concert Tour 2024 “Road to Authenticity“ (完全生産限定盤)(2枚組) [DVD],B0D7ZRQNCV,https://www.google.com/search?q=Capitol%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
小学館,除外:メディア,再販制度対象(法人化でも解けない),小学館,,5,本,6,2,0,,8365,15050,天(そら)は赤い河のほとり コミックセット (少コミフラワーコミックス) [マーケットプレイスセット],B00ENTPUOA,https://www.google.com/search?q=%E5%B0%8F%E5%AD%A6%E9%A4%A8%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Mobile Fidelity Sound Lab,除外:メディア,再販制度対象(法人化でも解けない),Mobile Fidelity Sound Lab,,5,ミュージック,3,1,2,S3_略号JPセラー,4471,12321,Brothers in Arms -Hq/Ltd- [Analog],B00QCDJKYG,https://www.google.com/search?q=Mobile%20Fidelity%20Sound%20Lab%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
トイズファクトリー,除外:メディア,再販制度対象(法人化でも解けない),トイズファクトリー,,5,ミュージック,5,1,2,S2_ピンイン風セラー,3289,9650,Iris (初回生産限定盤) - BUMP OF CHICKEN,B0D2CQWZ2S,https://www.google.com/search?q=%E3%83%88%E3%82%A4%E3%82%BA%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Penguin,除外:メディア,再販制度対象(法人化でも解けない),Penguin Books Ltd,,4,洋書,2,0,0,,1931,6142,The Let Them Theory,140199413X,https://www.google.com/search?q=Penguin%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Turtleback,除外:メディア,再販制度対象(法人化でも解けない),Turtleback Books,,4,洋書,6,1,0,,3624,7409,Holes,0613872975,https://www.google.com/search?q=Turtleback%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
レベルファイブ,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),レベルファイブ,,4,ゲーム,6,3,0,,2214,8850,妖怪ウォッチ3 スシ/テンプラ バスターズTパック - 3DS,B01M64246F,https://www.google.com/search?q=%E3%83%AC%E3%83%99%E3%83%AB%E3%83%95%E3%82%A1%E3%82%A4%E3%83%96%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Happinet,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Happinet,,4,DVD,4,1,0,,3940,12332,映画キミとアイドルプリキュア♪ お待たせ！キミに届けるキラッキライブ！ 特装版 [Blu-ray],B0FYPH27QL,https://www.google.com/search?q=Happinet%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
マイクロソフト,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),日本マイクロソフト,,4,ゲーム,2,1,0,,4612,9492,NINJA GAIDEN 4 Deluxe Edition -PS5 【特典】リュウ用スキン「トラディショナルダークブルー」 「レジェンダリーブラックファルコン,B0FCRL29CW,https://www.google.com/search?q=%E3%83%9E%E3%82%A4%E3%82%AF%E3%83%AD%E3%82%BD%E3%83%95%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
東宝,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),東宝,,4,DVD,6,3,0,,5318,14535,【Amazon.co.jp限定】「君の名は。」Blu-rayスペシャル・エディション3枚組(早期購入特典:特製フィルムしおり付き)(オリジナル特典:描き下ろしA,B07258TWJT,https://www.google.com/search?q=%E6%9D%B1%E5%AE%9D%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Zach Top,除外:メディア,再販制度対象(法人化でも解けない),ANALOGUE PRODUCTIONS,,4,ミュージック,6,0,2,S2_ピンイン風セラー,3668,13580,PET SOUNDS (STEREO) [2LP] (200 GRAM 45RPM AUDIOPHILE VINYL) [Analog],B071VR66G3,https://www.google.com/search?q=Zach%20Top%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
カプコン(CAPCOM),除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),カプコン,,4,ゲーム,3,2,0,,3657,11200,バイオハザード レクイエム デラックスエディション【早期購入特典】グレース コスチューム「APOCALYPSE」が入手できるダウンロードコード 同梱,B0FY4QGRYT,https://www.google.com/search?q=%E3%82%AB%E3%83%97%E3%82%B3%E3%83%B3%28CAPCOM%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
集英社,除外:メディア,再販制度対象(法人化でも解けない),集英社,,4,本,6,4,0,,466,5793,バンダイ公認 ONE PIECE CARD GAME 3rd ANNIVERSARY COMPLETE GUIDE (Vジャンプブックス(書籍)),4087798283,https://www.google.com/search?q=%E9%9B%86%E8%8B%B1%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Paramount Home Entertainment,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),Paramount Home Entertainment/Lucas Films,,4,DVD,5,0,2,S3_略号JPセラー,5236,13044,THE SAVING OF PRIVATE RYAN (STEELBOOK) IMPORT,B005DDJWDA,https://www.google.com/search?q=Paramount%20Home%20Entertainment%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
King Records,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),キングレコード,,4,DVD,5,1,0,,2305,6431,パピヨン-製作30周年記念特別版- [DVD],B00007KKUI,https://www.google.com/search?q=King%20Records%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
バンプレスト,除外:メディア,版元直取引は法人+実績が前提(法人化で条件付きに開く),バンプレスト,,4,ゲーム,4,1,0,,2490,8648,スーパーロボット大戦W(特典無し),B000NRPJ2E,https://www.google.com/search?q=%E3%83%90%E3%83%B3%E3%83%97%E3%83%AC%E3%82%B9%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
