メーカー,レーン,要注意,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
Tuwejia,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Tuwejia,,2,家電&カメラ,3,2,0,,574,1618,2026高機能版 USB Type c HDMI アダプタタイプc H dmi 変換 Tuwejia４K 解像度 hdmiポートUSB 3.0高速ポートタイプ1,B07G44M4S3,https://www.google.com/search?q=Tuwejia%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Kungix,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Kungix,,2,パソコン・周辺機器,2,0,0,,658,2014,【2026新登場・360°回転・折り畳み式】 タブレット スタンド iPad スタンド 4.7~13インチ対応 軽量 高さ 角度調整 滑り止め 放熱 通気性 安,B0FQ1X5R8C,https://www.google.com/search?q=Kungix%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Ralkepy,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Ralkepy,,2,家電&カメラ,3,0,0,,491,1580,Ralkepy タッチペン 全機種対応 電量表示 スタイラスペン 磁気吸着機能 交換用ペン先3つ付属「日本語取扱説明書付き」(ホワイト),B0D7L6QHGV,https://www.google.com/search?q=Ralkepy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Tryone,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Tryone,,2,車&バイク,2,0,0,,539,2040,【2026新型・業界最長伸縮アーム】TRYONE タブレットホルダー 車 後部座席 ヘッドレストホルダー 伸縮アーム 360°回転 安定固定,B0F8BPLLM9,https://www.google.com/search?q=Tryone%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
YOCOEI,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,YOCOEI,,2,家電&カメラ,2,0,0,,577,1620,YOCOEI 40W USB急速充電器 (4ポート/折り畳み式/超コンパクト/iSonicおまかせ充電/PSE認証済み) iPhone/iPadシリーズ/Gal,B0CRS24PMN,https://www.google.com/search?q=YOCOEI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
MiiElAOD,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Miistore,,2,パソコン・周辺機器,6,1,0,,2125,3860,"Seeeduino XIAO ESP32C3, IoT 制御シナリオ用の Wi-Fi と BLE を備えた Tiny MCU ボード (1pc)",B0BW476N31,https://www.google.com/search?q=MiiElAOD%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Hanmir,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Hanmir,,2,車&バイク,2,1,0,,48,1556,バイクカバー 原付カバー 300D厚手 バイクカバー大型 耐熱 防水 撥水 紫外線防止 盗難防止 防風 防埃 防雨 防雪 265㎝まで対応 収納バッグ付き (X,B09KNBHZFY,https://www.google.com/search?q=Hanmir%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
GLAMERGY,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,GLAMERGY,,2,パソコン・周辺機器,2,0,0,,546,1594,マウス Bluetooth Type-C充電式 ワイヤレスマウス 2.4GHz光学式 3dpi切替 静音 薄型 小型 無線マウス 高精度 左右対称 持ち運び便利,B0DCG6NRMD,https://www.google.com/search?q=GLAMERGY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Yokizu,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Yokizu,,2,ホーム&キッチン,2,0,0,,1278,3590,Yokizu 加湿器 小型 卓上 大容量 除菌 アロマ 超音波式 LEDライト しずく型 お手入れしやすい 静音 おしゃれ 寝室 6-10畳 ホワイト,B0DCW87ZXL,https://www.google.com/search?q=Yokizu%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FiiO,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,FIIO,,2,家電&カメラ,4,4,0,,3048,5286,FIIO KA11 Type-C Silver Black 【日本正規店より発送・シリアルナンバー付】USB DAC アンプ ポータブル ヘッドホン ヘッドフォ,B09NXJG3VX,https://www.google.com/search?q=FiiO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
LIXIL,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,LIXIL,,2,DIY・工具・ガーデン,5,0,0,,5997,10400,LIXIL(リクシル) TOSTEM ドア タッチキー・システムキー用リモコンキー Z-221-DVBA,B073S8Z97N,https://www.google.com/search?q=LIXIL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SCYROX,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,SCYROX,,2,パソコン・周辺機器,3,0,0,,6055,11800,SCYROX V6 軽量 ワイヤレスゲーミングマウス 40g Pixart 3950センサー 8k ドングル同梱済み kailhスイッチ版【日本正規代理店保証】,B0GKH36WB5,https://www.google.com/search?q=SCYROX%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
iWIMIUS,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,WIMIUS,,2,家電&カメラ,2,0,0,,12288,18914,プロジェクター 家庭用 【Netflix&DoIby&4K対応】750ASNI 高輝度【自動フォーカス＆自動台形補正】ポータブルプロジェクター内蔵 Netfli,B0F21KVBHN,https://www.google.com/search?q=iWIMIUS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
"KEIYO ENGINEERING CO.,LTD.",B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,KEIYO,,2,パソコン・周辺機器,6,1,0,,7544,11719,KEIYO 車載対応Wi-Fiルーター初回120GB付きバッテリーレス USB電源使用 車用Wi-Fi 買い切り 契約不要 リチャージ式 マルチキャリア切り替え,B0DHV2KW3X,https://www.google.com/search?q=KEIYO%20ENGINEERING%20CO.%2CLTD.%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
amBand,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,amBand,,2,家電&カメラ,5,0,0,,1136,2614,"amBand Apple Watchバンド (38mm/40mm/41mm, ブラック)",B0C2YWNGVV,https://www.google.com/search?q=amBand%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
RiDATA,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,RiTEK,,2,パソコン・周辺機器,2,0,0,,2148,4980,・RiDATA 1回録画用 片面2層 1-4倍速 ブルーレイディスク 50GB スピンドルケース 20枚入 ホワイトプリンタブル RiTEK BD-R DL B,B0BLN8S2BV,https://www.google.com/search?q=RiDATA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JELLY JELLY GAMES,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,JELLY JELLY GAMES,,2,おもちゃ,3,0,0,,1546,4018,JELLYJELLYGAMES クリプティッド 伝説の生物はどこにいる？ヒントを組み合わせて先に見つけた人が勝つ論理推理バトル！ 2~5人用 日本語版 ボードゲ,B081SKGBFP,https://www.google.com/search?q=JELLY%20JELLY%20GAMES%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Mzyxxel,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Mzyxxel,,2,おもちゃ,2,0,0,,3690,7297,マグネットブロック 330 Pcs 磁石ブロック 磁石おもち マグネットおもちゃ 子供知育玩具 男の子女の子 学習教育用 建設玩具 誕生日プレゼント クリスマス,B0GCG5HG1C,https://www.google.com/search?q=Mzyxxel%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
UYIKOO,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,UYIKOO,,2,家電&カメラ,2,2,0,,4214,7220,小型カメラ 隠しカメラ メガネカメラ HD1080P画質 大容量128GB対応長時間録画 操作簡単 スパイカメラ 写真撮影 カメラ付きメガネ 防犯用 会議 商談,B0BBP8RLJL,https://www.google.com/search?q=UYIKOO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Kiboer,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Kiboer,,2,スポーツ&アウトドア,2,1,0,,2304,4700,Kiboer EMS腹筋ベルト EMSパッド ジェル不要 6モード 16段階 5段階温熱 液晶表示 2mm薄型 USB充電 腹部 腰 背中対応 腹部,B0FYX7G4P9,https://www.google.com/search?q=Kiboer%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Ci-Fotto,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Ci-Fotto,,2,家電&カメラ,2,1,0,,8256,13842,LEDフォトビデオライト2パック、Ci-Fotto調光5600K USB LED連続光撮影ライト、三脚とカラーフィルター付き、フォトスタジオ、YouTube、T,B0CHWFJ234,https://www.google.com/search?q=Ci-Fotto%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FAR EAST GADGET,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,FAR EAST GADGET,,2,パソコン・周辺機器,2,0,0,,1196,2480,FAR EAST GADGET ファーイーストガジェット タイプスティックス (Black),B0D1C44P6W,https://www.google.com/search?q=FAR%20EAST%20GADGET%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
iplusmile,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,iplusmile,,2,DIY・工具・ガーデン,2,0,0,,1476,4209,iplusmile 3 セット スプリンクラー 高圧 圧力 ホース 高圧 圧力 ノズル 灌漑 散水 プラスチック ホース アタッチメント 360 度 ロータリー,B0C4MLZ2G9,https://www.google.com/search?q=iplusmile%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
adidas Originals,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,,,2,ファッション,2,0,0,,2558,5500,[アディダス] オリジナルス ORIGINALS アディダス 3-STRIPES TEE スリーストライプ Tシャツ ユニセックス Tシャツ 半袖Tシャツ KE,B0G8ZX9BF5,https://www.google.com/search?q=adidas%20Originals%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
CME,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,CME,,2,楽器・音響機器,4,1,0,,3951,8789,CME WIDI Thru6 BT 2入力6出力 MIDI Thru ボックス Bluetooth MIDI対応 5ピンDIN MIDI 高速データ転送,B0B9ZMQQGG,https://www.google.com/search?q=CME%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SilentPower,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,SilentPower,,2,DIY・工具・ガーデン,5,3,0,,6504,12935,Silentpower iPower2 【日本正規店より発送】ノイズ抑制 電源 (iPower2 5V),B0DXP62Z3Z,https://www.google.com/search?q=SilentPower%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Nexmora,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Nexmora,,2,パソコン・周辺機器,2,0,0,,960,2330,【2026革新型・高速USB3.0対応】 CD DVDドライブ 外付け 静音 DVDプレーヤー 外付けDVDドライブ USB3.0＆Type-C両接続 読取/書,B0DPRSKYXR,https://www.google.com/search?q=Nexmora%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Lettop,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,,,2,ホーム&キッチン,3,0,0,,594,2060,【2026革新モデル】 デスクライト LED スタンドライト 目に優しい 電気スタンド 省エネ 卓上 調色5段階 無段階調光 明るい ブックライト タッチセンサ,B0BQ6Z2Z2J,https://www.google.com/search?q=Lettop%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Letibe,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,,,2,DIY・工具・ガーデン,2,1,0,,4354,8480,【日本優良企業】 45000mAh 56V 空調作業服 バッテリー 2026 業界最強 15Vから56Vまで調節可能 30時間 超長時間連続稼働 デュアルコント,B0F6BW3LRH,https://www.google.com/search?q=Letibe%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
TAROTIKA,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,GWE,,2,おもちゃ,5,1,0,,2514,6161,タロットカード 初心者向け – カードに意味が書かれたタロットデッキ – Yes or No、占星術、惑星＆チャクラ付き – ガイドブック不要 (英語),B0BN663GTR,https://www.google.com/search?q=TAROTIKA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Juliyas,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Juliyas,,1,ホーム&キッチン,2,0,0,,688,1999,Juliyas ネックケア 首 リラクゼーション器 EMS×TENS Ｗ効果 振動 首元ケア ホットケア 10種類のモード 19段階強度調節,B0GHMT3457,https://www.google.com/search?q=Juliyas%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
FIDECO,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,FIDECO,,1,パソコン・周辺機器,2,0,0,,598,1652,FIDECO M.2 NVMe SSD 外付けケース SSD エンクロージャー 10Gbps 高速転送 SSDケース 工具不要 簡単取り付け,B0CYLDM23M,https://www.google.com/search?q=FIDECO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SK-CinDa,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,SK-CinDa,,1,家電&カメラ,2,0,0,,631,1999,4in1車用充電器·巻き取り式·ケーブル 2本·Type-C100W/Lightning·LED付き電圧表示·DC12/24V車対応,B0DRBJB57V,https://www.google.com/search?q=SK-CinDa%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Rikuto,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Rikuto,,1,パソコン・周辺機器,3,0,0,,513,1530,【業界トップクラス技術&ドライバー不要】Rikuto Bluetooth USB アダプタ bluetooth 5.4 対応 レシーバー ブルートゥー PC 専,B0FFZ58GFW,https://www.google.com/search?q=Rikuto%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JGUG,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,JGUG,,1,家電&カメラ,2,0,0,,701,1797,【Bluetooth イヤホン】ワイヤレス ブルートゥース イヤホン JGUG 数字LEDディスプレイ表示 両耳ENCノイズキャンセリング 長時間連続再生 自動,B0CHW15Z7B,https://www.google.com/search?q=JGUG%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
YUDOFICAL,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,YUDOFICAL,,1,パソコン・周辺機器,2,0,0,,471,1825,YUDOFICAL 延長コード 2m 電源タップ USB コンセントタップ 4個AC+2個USB-A+1個Type-C 黒,B0F3CQ2G4K,https://www.google.com/search?q=YUDOFICAL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Avrpqiwy,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,,,1,産業・研究開発用品,6,0,0,,103,1760,Avrpqiwy 3Dプリンターフィラメントドライボックスストレージ熱風加熱ストレージ印刷材料ボックスホルダー耐湿性すべての用,B0DPMSYR8R,https://www.google.com/search?q=Avrpqiwy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Casio,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,CASIO,,1,家電&カメラ,2,0,0,,541,1680,Casio Casio-23152-CTL1616 – 腕時計バッテリー,B00KSHIM7I,https://www.google.com/search?q=Casio%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
roborock,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,roborock,,1,ホーム&キッチン,4,0,0,,468,1680,【メーカー純正品】Roborock 自動ゴミ収集ドック用 使い捨て紙パックC SDCD05RR 3個 交換用 純正アクセサリー Saros 10R / Saro,B0DBYY5DQ8,https://www.google.com/search?q=roborock%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
DYKL,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,DYKL,,1,ホーム&キッチン,3,0,0,,669,1949,【Amazon.co.jp限定】DYKL 鼻毛カッター メンズ レディース 電動 エチケットカッター 3in1 鼻毛・眉毛・耳毛対応 眉毛シェーバー 耳毛カッタ,B0FN71V2R3,https://www.google.com/search?q=DYKL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
CEREMONY,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,ceremony,,1,ホーム&キッチン,2,0,0,,296,1976,CEREMONY お香立て、灰がこぼれない、おこうたて、線香立て、おこうたて おしゃれ（お香は付いていません）,B0CDLP9SQ3,https://www.google.com/search?q=CEREMONY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ELUTENG,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,ELUTENG,,1,パソコン・周辺機器,2,0,0,,501,1519,ELUTENG SATA 増設ボード 6Gbps速度 pcie sata 増設 2ポート sata 増設 拡張カード PCI Express x1 X4 X8 ,B07T1HYBK2,https://www.google.com/search?q=ELUTENG%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Ashei,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,Ashei,,1,DIY・工具・ガーデン,2,0,0,,257,1695,ソーラーライト 屋外 防水【2026新版 2個入り】 防犯 3つ知能モード 自動点灯/消灯 ソーラーセンサーライト 大容量電池 太陽光発電 電気代ゼロ 玄関/廊,B0F4KH3FGX,https://www.google.com/search?q=Ashei%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
LongFlight,B_英字レーン,,日本語シグナルなし→人手/HTTP確認が必要,LongFlight,,1,ホーム&キッチン,2,0,0,,551,1799,LongFlight 携帯枕 ネックピロー 首枕 U型 空気枕 持ち運び便利 旅行枕 収納ポーチ付き 洗えるカバー 飛行機 コンパクト 車 夜行深夜バス 新幹線,B0FVXVWLR2,https://www.google.com/search?q=LongFlight%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
